t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
2.9200000000e+02,3.3895658619e+03,3.8799654737e+03,8.6085350000e+04,8.6291294003e+04,3.1048820884e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835896311e+20,4.3563943718e+20,0.0000000000e+00,1.5870227919e+21,1.2977160469e+19,1.3993724209e+21,4.2543418420e+02,4.3837380429e+01,1.9282215672e+02,6.2910690214e+01,1.5492184373e+00,6.8600399560e-10,1.2431473840e+02,3.5302862683e-02,6.7851387791e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.3895657019e+03,3.8799654737e+03,8.6085360000e+04,8.6291327068e+04,3.1048832285e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835866941e+20,4.3563831872e+20,0.0000000000e+00,1.5870227476e+21,1.2977162649e+19,1.3993698876e+21,4.2543346789e+02,4.3837377985e+01,1.9282161853e+02,6.2910514622e+01,1.5492183509e+00,6.8600200437e-10,1.2431473840e+02,3.5302854784e-02,6.7851386936e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.3895654376e+03,3.8799654737e+03,8.6085400000e+04,8.6291378858e+04,3.1048850546e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835819902e+20,4.3563652744e+20,0.0000000000e+00,1.5870226768e+21,1.2977166140e+19,1.3993658304e+21,4.2543232066e+02,4.3837374070e+01,1.9282075658e+02,6.2910233400e+01,1.5492182126e+00,6.8599881528e-10,1.2431473840e+02,3.5302842134e-02,6.7851385546e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.3895650239e+03,3.8799654737e+03,8.6085450000e+04,8.6291463348e+04,3.1048879763e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835744639e+20,4.3563366138e+20,0.0000000000e+00,1.5870225634e+21,1.2977171727e+19,1.3993593387e+21,4.2543048510e+02,4.3837367806e+01,1.9281937745e+02,6.2909783443e+01,1.5492179912e+00,6.8599371273e-10,1.2431473840e+02,3.5302821893e-02,6.7851383361e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.3895643512e+03,3.8799654737e+03,8.6085530000e+04,8.6291596899e+04,3.1048926484e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835624287e+20,4.3562907828e+20,0.0000000000e+00,1.5870223821e+21,1.2977180660e+19,1.3993489580e+21,4.2542754985e+02,4.3837357790e+01,1.9281717210e+02,6.2909063919e+01,1.5492176372e+00,6.8598555326e-10,1.2431473840e+02,3.5302789525e-02,6.7851379835e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,3.3895632821e+03,3.8799654737e+03,8.6085670000e+04,8.6291812023e+04,3.1049001264e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835431653e+20,4.3562174262e+20,0.0000000000e+00,1.5870220919e+21,1.2977194958e+19,1.3993323427e+21,4.2542285174e+02,4.3837341757e+01,1.9281364225e+02,6.2907912259e+01,1.5492170707e+00,6.8597249335e-10,1.2431473840e+02,3.5302737717e-02,6.7851374206e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0280000000e+03,3.3895615707e+03,3.8799654737e+03,8.6085880000e+04,8.6292154185e+04,3.1049120895e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835123480e+20,4.3561000714e+20,0.0000000000e+00,1.5870216276e+21,1.2977217833e+19,1.3993057618e+21,4.2541533578e+02,4.3837316108e+01,1.9280799525e+02,6.2906069853e+01,1.5492161642e+00,6.8595160033e-10,1.2431473840e+02,3.5302654833e-02,6.7851365176e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1326000000e+04,3.3895588308e+03,3.8799654737e+03,8.6086220000e+04,8.6292704993e+04,3.1049312321e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0834630346e+20,4.3559122816e+20,0.0000000000e+00,1.5870208846e+21,1.2977254440e+19,1.3992632274e+21,4.2540330884e+02,4.3837275063e+01,1.9279895900e+02,6.2903121661e+01,1.5492147137e+00,6.8591816769e-10,1.2431473840e+02,3.5302522197e-02,6.7851350792e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5064000000e+04,3.3541970232e+03,3.7913349600e+03,8.6086770000e+04,7.7769972798e+04,3.1049478806e+02,1.0000000000e+00,9.4123561753e+01,9.4123561753e+01,1.0000000000e-02,0.0000000000e+00,1.0974951878e+20,4.3416739138e+20,0.0000000000e+00,1.5871589371e+21,1.2838587631e+19,1.3288357395e+21,3.9691576304e+02,4.3844902066e+01,1.9611806250e+02,6.1319598646e+01,1.5096380749e+00,7.1329878953e-10,9.4123561753e+01,3.5658697627e-02,6.7688911865e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5947000000e+04,3.3167475489e+03,3.7078728452e+03,7.7564040000e+04,6.9703044066e+04,3.1049518133e+02,1.0000000000e+00,7.0409816369e+01,7.0409816369e+01,1.0000000000e-02,0.0000000000e+00,1.1111382236e+20,4.3279825321e+20,0.0000000000e+00,1.5872896633e+21,1.2707718404e+19,1.2744627390e+21,3.7481654304e+02,4.3852124930e+01,1.9940913874e+02,5.9675279944e+01,1.4701830637e+00,7.4342639708e-10,7.0409816369e+01,3.6000322753e-02,6.7538989031e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
