t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
2.9200000000e+02,2.9452490478e+03,3.8717744066e+03,2.5411510000e+05,2.5267872455e+05,5.9400099508e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9975794696e+19,2.2302090915e+20,0.0000000000e+00,1.5981750086e+20,1.8249643889e+17,7.8100072414e+20,2.6785197434e+02,6.7261544112e-01,1.0770177210e+02,3.5139078079e+01,2.3770312743e-02,9.0206334516e-14,1.2431473840e+02,3.6267468922e-02,6.3492810442e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,2.9450484840e+03,3.8717744066e+03,2.5229590000e+05,2.4827576330e+05,5.9400121324e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9975247943e+19,2.2301855148e+20,0.0000000000e+00,1.5981749838e+20,1.8249654759e+17,7.8099537860e+20,2.6785037475e+02,6.7261542020e-01,1.0770056603e+02,3.5138684581e+01,2.3770312003e-02,9.0205318748e-14,1.2431473840e+02,3.6267446191e-02,6.3472833816e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,2.9448022445e+03,3.8717744066e+03,2.4789290000e+05,2.4403110075e+05,5.9400156259e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9974373856e+19,2.2301478230e+20,0.0000000000e+00,1.5981749441e+20,1.8249672138e+17,7.8098683275e+20,2.6784781750e+02,6.7261538675e-01,1.0769863789e+02,3.5138055503e+01,2.3770310821e-02,9.0203694857e-14,1.2431473840e+02,3.6267409852e-02,6.3453060314e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,2.9445699147e+03,3.8717744066e+03,2.4364820000e+05,2.3996797748e+05,5.9400212156e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9972977832e+19,2.2300876245e+20,0.0000000000e+00,1.5981748806e+20,1.8249699894e+17,7.8097318400e+20,2.6784373327e+02,6.7261533334e-01,1.0769555843e+02,3.5137050789e+01,2.3770308934e-02,9.0201101305e-14,1.2431473840e+02,3.6267351812e-02,6.3433588062e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,2.9443766194e+03,3.8717744066e+03,2.3958510000e+05,2.3687707093e+05,5.9400301536e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9970749441e+19,2.2299915331e+20,0.0000000000e+00,1.5981747793e+20,1.8249744201e+17,7.8095139731e+20,2.6783721385e+02,6.7261524807e-01,1.0769064287e+02,3.5135447024e+01,2.3770305920e-02,9.0196961376e-14,1.2431473840e+02,3.6267259163e-02,6.3418528776e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,2.9441699458e+03,3.8717744066e+03,2.3649420000e+05,2.3267734064e+05,5.9400444599e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9967187703e+19,2.2298379457e+20,0.0000000000e+00,1.5981746174e+20,1.8249815025e+17,7.8091657468e+20,2.6782679359e+02,6.7261511177e-01,1.0768278612e+02,3.5132883658e+01,2.3770301103e-02,9.0190344354e-14,1.2431473840e+02,3.6267111068e-02,6.3397738034e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7830000000e+03,2.9234850277e+03,3.7803142107e+03,2.3229450000e+05,1.7557769728e+05,5.9400482176e+02,1.0000000000e+00,9.2772391690e+01,9.2772391690e+01,1.0000000000e-02,0.0000000000e+00,5.0981179716e+19,2.2196484260e+20,0.0000000000e+00,1.5982095861e+20,1.7899721768e+17,7.1180206742e+20,2.3828438330e+02,6.7264454630e-01,1.1037984628e+02,3.4436371758e+01,2.3129027534e-02,9.4599030047e-14,9.2772391690e+01,3.6943957269e-02,6.2948524927e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1360000000e+03,2.8970744544e+03,3.6961975741e+03,1.7519480000e+05,1.5418905057e+05,5.9400512254e+02,1.0000000000e+00,6.8952690509e+01,6.8952690509e+01,1.0000000000e-02,0.0000000000e+00,5.1965523016e+19,2.2097669114e+20,0.0000000000e+00,1.5982424934e+20,1.7570341383e+17,6.6071420800e+20,2.1639708397e+02,6.7267224625e-01,1.1302974206e+02,3.3719469989e+01,2.2509164790e-02,9.9335243271e-14,6.8952690509e+01,3.7604491019e-02,6.2739789272e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4180000000e+03,2.8777153074e+03,3.6367815563e+03,1.5380620000e+05,1.4513421531e+05,5.9400536284e+02,1.0000000000e+00,5.5197535622e+01,5.5197535622e+01,1.0000000000e-02,0.0000000000e+00,5.2659493841e+19,2.2027975026e+20,0.0000000000e+00,1.5982649335e+20,1.7345704675e+17,6.3182344913e+20,2.0398209956e+02,6.7269113563e-01,1.1492391887e+02,3.3165890852e+01,2.2063073763e-02,1.0303927464e-13,5.5197535622e+01,3.8068082578e-02,6.2634830333e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.6440000000e+03,2.8636234849e+03,3.5920586292e+03,1.4475130000e+05,1.3927119303e+05,5.9400555542e+02,1.0000000000e+00,4.6375156902e+01,4.6375156902e+01,1.0000000000e-02,0.0000000000e+00,5.3171131607e+19,2.1976575010e+20,0.0000000000e+00,1.5982810174e+20,1.7184679864e+17,6.1360530237e+20,1.9612847471e+02,6.7270467473e-01,1.1633805009e+02,3.2720838551e+01,2.1724493577e-02,1.0602184347e-13,4.6375156902e+01,3.8406813116e-02,6.2566203955e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
