t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_H2S(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_N2(bar)
2.9200000000e+02,3.1794521372e+03,3.8717720655e+03,1.2810500000e+05,1.2849580837e+05,5.9400099508e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547300998e+19,2.2344953472e+20,0.0000000000e+00,4.6841536459e+20,1.5846129731e+18,7.9550230552e+20,2.7190538433e+02,5.7787784713e+00,1.0677193716e+02,3.4835707557e+01,2.0422274473e-01,6.6010000338e-12,1.2431473840e+02,3.5884712110e-02,6.3577501168e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.1794515345e+03,3.8717720655e+03,1.2810510000e+05,1.2849593234e+05,5.9400121324e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9546777524e+19,2.2344726515e+20,0.0000000000e+00,4.6841534388e+20,1.5846138733e+18,7.9549718136e+20,2.7190385254e+02,5.7787779603e+00,1.0677078258e+02,3.4835330863e+01,2.0422272667e-01,6.6009274870e-12,1.2431473840e+02,3.5884688553e-02,6.3577498027e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.1794505654e+03,3.8717720655e+03,1.2810520000e+05,1.2849612260e+05,5.9400156259e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9545939146e+19,2.2344363027e+20,0.0000000000e+00,4.6841531072e+20,1.5846153149e+18,7.9548897469e+20,2.7190139927e+02,5.7787771421e+00,1.0676893346e+02,3.4834727564e+01,2.0422269775e-01,6.6008112988e-12,1.2431473840e+02,3.5884650825e-02,6.3577492972e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.1794490151e+03,3.8717720655e+03,1.2810540000e+05,1.2849642539e+05,5.9400212156e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9544597738e+19,2.2343781445e+20,0.0000000000e+00,4.6841525765e+20,1.5846176216e+18,7.9547584399e+20,2.7189747403e+02,5.7787758328e+00,1.0676597486e+02,3.4833762282e+01,2.0422265148e-01,6.6006253972e-12,1.2431473840e+02,3.5884590459e-02,6.3577484886e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.1794465446e+03,3.8717720655e+03,1.2810570000e+05,1.2849692250e+05,5.9400301536e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9542452700e+19,2.2342851440e+20,0.0000000000e+00,4.6841517279e+20,1.5846213103e+18,7.9545484677e+20,2.7189119722e+02,5.7787737390e+00,1.0676124379e+02,3.4832218709e+01,2.0422257749e-01,6.6003281237e-12,1.2431473840e+02,3.5884493924e-02,6.3577471996e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,3.1794425671e+03,3.8717720655e+03,1.2810620000e+05,1.2849770481e+05,5.9400444599e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9539019386e+19,2.2341362887e+20,0.0000000000e+00,4.6841503697e+20,1.5846272148e+18,7.9542123897e+20,2.7188115066e+02,5.7787703877e+00,1.0675367131e+02,3.4829748093e+01,2.0422245905e-01,6.5998523137e-12,1.2431473840e+02,3.5884339403e-02,6.3577451354e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0280000000e+03,3.1794362242e+03,3.8717720655e+03,1.2810700000e+05,1.2849896431e+05,5.9400673468e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9533526831e+19,2.2338981520e+20,0.0000000000e+00,4.6841481966e+20,1.5846366618e+18,7.9536747390e+20,2.7186507840e+02,5.7787650258e+00,1.0674155704e+02,3.4825795657e+01,2.0422226956e-01,6.5990911247e-12,1.2431473840e+02,3.5884092179e-02,6.3577418323e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.9430000000e+03,3.1526812119e+03,3.7887473072e+03,1.2810820000e+05,1.1901022522e+05,5.9400836639e+02,1.0000000000e+00,9.5445924750e+01,9.5445924750e+01,1.0000000000e-02,0.0000000000e+00,5.0387505983e+19,2.2251494182e+20,0.0000000000e+00,4.6844001195e+20,1.5592961498e+18,7.3159564824e+20,2.4462490703e+02,5.7793866299e+00,1.0903601691e+02,3.4164329080e+01,1.9924966047e-01,6.8827011770e-12,9.5445924750e+01,3.6440733480e-02,6.3398316340e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.4570000000e+03,3.1231806293e+03,3.7058552618e+03,1.1861950000e+05,1.0933244880e+05,5.9400880436e+02,1.0000000000e+00,7.1428865998e+01,7.1428865998e+01,1.0000000000e-02,0.0000000000e+00,5.1292478793e+19,2.2160441046e+20,0.0000000000e+00,4.6846606369e+20,1.5332054581e+18,6.7951752760e+20,2.2233325008e+02,5.7800294753e+00,1.1149289612e+02,3.3437424272e+01,1.9403421635e-01,7.2123524592e-12,7.1428865998e+01,3.7032503646e-02,6.3218639003e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.8680000000e+03,3.0997321179e+03,3.6445900418e+03,1.0894170000e+05,1.0228849023e+05,5.9400915455e+02,1.0000000000e+00,5.6872055935e+01,5.6872055935e+01,1.0000000000e-02,0.0000000000e+00,5.1964592737e+19,2.2092789195e+20,0.0000000000e+00,4.6848483616e+20,1.5144025142e+18,6.4854515274e+20,2.0903944795e+02,5.7804927217e+00,1.1334199421e+02,3.2854807336e+01,1.9009775445e-01,7.4833223938e-12,5.6872055935e+01,3.7470504836e-02,6.3094892143e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
