t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,3.4555113040e+03,3.8717644502e+03,1.0000000000e+03,7.3274656021e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586285698e+19,1.1441371372e+20,0.0000000000e+00,1.5784908785e+21,2.1509121575e+19,7.4437899731e+20,2.5297127036e+02,6.5650514038e+01,4.5757086902e+01,1.4928833741e+01,2.3200972725e+00,3.6510278849e-10,1.2431473840e+02,3.0032116933e-02,6.5549232240e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4554931327e+03,3.8717644502e+03,7.2880100000e+04,7.3291634569e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586293245e+19,1.1441375122e+20,0.0000000000e+00,1.5784908771e+21,2.1509120918e+19,7.4437907089e+20,2.5297129188e+02,6.5650513923e+01,4.5757103216e+01,1.4928839063e+01,2.3200972685e+00,3.6510291738e-10,1.2431473840e+02,3.0032117798e-02,6.5549618670e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4555084554e+03,3.8717644502e+03,7.2897080000e+04,7.3292073040e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586285792e+19,1.1441371419e+20,0.0000000000e+00,1.5784908784e+21,2.1509121565e+19,7.4437899820e+20,2.5297127062e+02,6.5650514031e+01,4.5757087105e+01,1.4928833807e+01,2.3200972723e+00,3.6510279003e-10,1.2431473840e+02,3.0032116944e-02,6.5549326711e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4555083635e+03,3.8717644502e+03,7.2897520000e+04,7.3291786969e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586285738e+19,1.1441371392e+20,0.0000000000e+00,1.5784908785e+21,2.1509121571e+19,7.4437899770e+20,2.5297127047e+02,6.5650514037e+01,4.5757086990e+01,1.4928833769e+01,2.3200972725e+00,3.6510278917e-10,1.2431473840e+02,3.0032116938e-02,6.5549254085e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.4555083684e+03,3.8717644502e+03,7.2897240000e+04,7.3291785356e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586285795e+19,1.1441371421e+20,0.0000000000e+00,1.5784908784e+21,2.1509121564e+19,7.4437899823e+20,2.5297127063e+02,6.5650514031e+01,4.5757087113e+01,1.4928833809e+01,2.3200972723e+00,3.6510279008e-10,1.2431473840e+02,3.0032116944e-02,6.5549246854e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.4555083714e+03,3.8717644502e+03,7.2897230000e+04,7.3291788507e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586285795e+19,1.1441371421e+20,0.0000000000e+00,1.5784908784e+21,2.1509121564e+19,7.4437899823e+20,2.5297127063e+02,6.5650514031e+01,4.5757087113e+01,1.4928833809e+01,2.3200972723e+00,3.6510279008e-10,1.2431473840e+02,3.0032116944e-02,6.5549246559e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.4555083523e+03,3.8717644502e+03,7.2897240000e+04,7.3291792675e+04,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586268705e+19,1.1441362892e+20,0.0000000000e+00,1.5784908584e+21,2.1509122350e+19,7.4437882433e+20,2.5297121991e+02,6.5650512364e+01,4.5757050173e+01,1.4928821757e+01,2.3200972134e+00,3.6510247680e-10,1.2431473840e+02,3.0032115085e-02,6.5549246427e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.4555083327e+03,3.8717644502e+03,7.2897240000e+04,7.3291796097e+04,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586251616e+19,1.1441354364e+20,0.0000000000e+00,1.5784908384e+21,2.1509123135e+19,7.4437865042e+20,2.5297116920e+02,6.5650510698e+01,4.5757013233e+01,1.4928809705e+01,2.3200971545e+00,3.6510216352e-10,1.2431473840e+02,3.0032113226e-02,6.5549246276e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.4555083147e+03,3.8717644502e+03,7.2897250000e+04,7.3291800224e+04,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586234526e+19,1.1441345835e+20,0.0000000000e+00,1.5784908183e+21,2.1509123921e+19,7.4437847651e+20,2.5297111848e+02,6.5650509032e+01,4.5756976293e+01,1.4928797653e+01,2.3200970956e+00,3.6510185024e-10,1.2431473840e+02,3.0032111367e-02,6.5549246131e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.4555081228e+03,3.8717644502e+03,7.2897250000e+04,7.3291838662e+04,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.1586063630e+19,1.1441260552e+20,0.0000000000e+00,1.5784906180e+21,2.1509131777e+19,7.4437673744e+20,2.5297061131e+02,6.5650492370e+01,4.5756606896e+01,1.4928677132e+01,2.3200965068e+00,3.6509871743e-10,1.2431473840e+02,3.0032092776e-02,6.5549244724e+06,3.2493100536e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
