t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
2.9200000000e+02,2.8874177566e+03,3.8799788810e+03,2.3548770000e+05,2.3271438108e+05,3.1048820884e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409155838e+19,1.0858920510e+20,0.0000000000e+00,1.5986594770e+20,1.3405027933e+17,5.4206988226e+20,1.8735437761e+02,4.4454725277e-01,4.7184753427e+01,1.5394628170e+01,1.5710354805e-02,1.7263071600e-14,1.2431473840e+02,3.4660477347e-02,6.7125945346e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,2.8872940192e+03,3.8799788810e+03,2.3251550000e+05,2.2939262854e+05,3.1048832285e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7408857012e+19,1.0858806067e+20,0.0000000000e+00,1.5986594584e+20,1.3405035397e+17,5.4206737568e+20,1.8735368177e+02,4.4454724244e-01,4.7184228774e+01,1.5394456995e+01,1.5710354440e-02,1.7262878848e-14,1.2431473840e+02,3.4660457242e-02,6.7107822230e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,2.8871577404e+03,3.8799788810e+03,2.2919370000e+05,2.2621627815e+05,3.1048850546e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7408379212e+19,1.0858623081e+20,0.0000000000e+00,1.5986594287e+20,1.3405047332e+17,5.4206336786e+20,1.8735256918e+02,4.4454722593e-01,4.7183389896e+01,1.5394183301e+01,1.5710353856e-02,1.7262570653e-14,1.2431473840e+02,3.4660425096e-02,6.7089802102e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,2.8870332156e+03,3.8799788810e+03,2.2601740000e+05,2.2322525356e+05,3.1048879763e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7407615982e+19,1.0858330783e+20,0.0000000000e+00,1.5986593813e+20,1.3405066397e+17,5.4205696583e+20,1.8735079195e+02,4.4454719957e-01,4.7182049885e+01,1.5393746105e+01,1.5710352925e-02,1.7262078347e-14,1.2431473840e+02,3.4660373746e-02,6.7072250780e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,2.8869225705e+03,3.8799788810e+03,2.2302640000e+05,2.2034723995e+05,3.1048926484e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7406397474e+19,1.0857864123e+20,0.0000000000e+00,1.5986593056e+20,1.3405096835e+17,5.4204674488e+20,1.8734795457e+02,4.4454715747e-01,4.7179910538e+01,1.5393048116e+01,1.5710351437e-02,1.7261292374e-14,1.2431473840e+02,3.4660291763e-02,6.7054875292e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,2.8867676654e+03,3.8799788810e+03,2.2014830000e+05,2.2003291257e+05,3.1049001264e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7404450341e+19,1.0857118415e+20,0.0000000000e+00,1.5986591846e+20,1.3405145476e+17,5.4203041216e+20,1.8734342054e+02,4.4454709019e-01,4.7176491943e+01,1.5391932756e+01,1.5710349059e-02,1.7260036419e-14,1.2431473840e+02,3.4660160751e-02,6.7053160130e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.7970000000e+03,2.8711022463e+03,3.7942545208e+03,2.1983400000e+05,1.8440557456e+05,3.1049066068e+02,1.0000000000e+00,9.5038094415e+01,9.5038094415e+01,1.0000000000e-02,0.0000000000e+00,2.7879215051e+19,1.0808827114e+20,0.0000000000e+00,1.5986816242e+20,1.3179744138e+17,4.7078556534e+20,1.5880144938e+02,4.4455957002e-01,4.8208199947e+01,1.5095274941e+01,1.5320509994e-02,1.8011776990e-14,9.5038094415e+01,3.5224018957e-02,6.6662482187e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.1880000000e+03,2.8452143598e+03,3.7063640046e+03,1.8420670000e+05,1.6503109549e+05,3.1049083482e+02,1.0000000000e+00,7.0022987901e+01,7.0022987901e+01,1.0000000000e-02,0.0000000000e+00,2.8445520951e+19,1.0751984132e+20,0.0000000000e+00,1.5987082749e+20,1.2912977752e+17,4.1063831305e+20,1.3469684644e+02,4.4457439216e-01,4.9433198668e+01,1.4781188167e+01,1.4897307752e-02,1.8950798128e-14,7.0022987901e+01,3.5919778637e-02,6.6461161054e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5010000000e+03,2.8256788708e+03,3.6433766165e+03,1.6483220000e+05,1.5553266509e+05,3.1049097423e+02,1.0000000000e+00,5.5414952392e+01,5.5414952392e+01,1.0000000000e-02,0.0000000000e+00,2.8885860273e+19,1.0707783781e+20,0.0000000000e+00,1.5987286672e+20,1.2708855104e+17,3.7599975461e+20,1.2080935440e+02,4.4458573374e-01,5.0385884656e+01,1.4549344866e+01,1.4586749598e-02,1.9725331907e-14,5.5414952392e+01,3.6472935052e-02,6.6343378838e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7520000000e+03,2.8111264965e+03,3.5958489403e+03,1.5533380000e+05,1.4926185270e+05,3.1049108602e+02,1.0000000000e+00,4.6090204011e+01,4.6090204011e+01,1.0000000000e-02,0.0000000000e+00,2.9229626912e+19,1.0673274659e+20,0.0000000000e+00,1.5987442969e+20,1.2552400398e+17,3.5416137442e+20,1.1204931209e+02,4.4459442665e-01,5.1131998035e+01,1.4368165589e+01,1.4350023742e-02,2.0365730109e-14,4.6090204011e+01,3.6909199475e-02,6.6259155606e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
