t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_N2(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
2.9200000000e+02,3.1250625949e+03,3.9074685703e+03,1.3905310000e+05,1.3912949027e+05,3.1048820884e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818557920e+19,2.1717985646e+20,0.0000000000e+00,4.6888435341e+20,1.1156384466e+18,7.9391265670e+20,2.5766251800e+02,3.8247500829e+00,9.7558240857e+01,3.1829621517e+01,1.3516714020e-01,2.6421082463e-12,1.2431473840e+02,3.5830627167e-02,6.7150957908e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.1252314265e+03,3.9074685703e+03,1.3892590000e+05,1.3904379631e+05,3.1048832285e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818263131e+19,2.1717875297e+20,0.0000000000e+00,4.6888434590e+20,1.1156387690e+18,7.9391017021e+20,2.5766181892e+02,3.8247499605e+00,9.7557713844e+01,3.1829449572e+01,1.3516713588e-01,2.6420938044e-12,1.2431473840e+02,3.5830615665e-02,6.7150067667e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.1256678784e+03,3.9074685703e+03,1.3884030000e+05,1.3903086114e+05,3.1048850546e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5817791270e+19,2.1717698663e+20,0.0000000000e+00,4.6888433389e+20,1.1156392851e+18,7.9390619016e+20,2.5766069991e+02,3.8247497645e+00,9.7556870270e+01,3.1829174345e+01,1.3516712895e-01,2.6420706877e-12,1.2431473840e+02,3.5830597254e-02,6.7149398549e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.1257916146e+03,3.9074685703e+03,1.3882730000e+05,1.3904001340e+05,3.1048879763e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5817036680e+19,2.1717416194e+20,0.0000000000e+00,4.6888431468e+20,1.1156401104e+18,7.9389982535e+20,2.5765891043e+02,3.8247494511e+00,9.7555521245e+01,3.1828734208e+01,1.3516711787e-01,2.6420337199e-12,1.2431473840e+02,3.5830567812e-02,6.7149316328e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.1257903616e+03,3.9074685703e+03,1.3883650000e+05,1.3904008600e+05,3.1048926484e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5815830162e+19,2.1716964553e+20,0.0000000000e+00,4.6888428396e+20,1.1156414301e+18,7.9388964861e+20,2.5765604921e+02,3.8247489499e+00,9.7553364282e+01,3.1828030472e+01,1.3516710016e-01,2.6419746118e-12,1.2431473840e+02,3.5830520735e-02,6.7149310601e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,3.1257884127e+03,3.9074685703e+03,1.3883650000e+05,1.3904046182e+05,3.1049001264e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5813899034e+19,2.1716241665e+20,0.0000000000e+00,4.6888423479e+20,1.1156435423e+18,7.9387335994e+20,2.5765146960e+02,3.8247481477e+00,9.7549911894e+01,3.1826904086e+01,1.3516707181e-01,2.6418800049e-12,1.2431473840e+02,3.5830445383e-02,6.7149301875e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0280000000e+03,3.1257853076e+03,3.9074685703e+03,1.3883690000e+05,1.3904107460e+05,3.1049120895e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5810809645e+19,2.1715085198e+20,0.0000000000e+00,4.6888415613e+20,1.1156469216e+18,7.9384730159e+20,2.5764414323e+02,3.8247468644e+00,9.7544388825e+01,3.1825102114e+01,1.3516702646e-01,2.6417286545e-12,1.2431473840e+02,3.5830324831e-02,6.7149287925e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.3760000000e+03,3.0973242770e+03,3.8104011944e+03,1.3883750000e+05,1.2804032458e+05,3.1049225471e+02,1.0000000000e+00,9.2277163950e+01,9.2277163950e+01,1.0000000000e-02,0.0000000000e+00,5.6892656692e+19,2.1605619475e+20,0.0000000000e+00,4.6890487134e+20,1.0948658936e+18,7.1824092255e+20,2.2728260896e+02,3.8250848251e+00,9.9905610798e+01,3.1143288208e+01,1.3146118205e-01,2.7700456302e-12,9.2277163950e+01,3.6479348002e-02,6.6968682228e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.8880000000e+03,3.0703194930e+03,3.7293952684e+03,1.2783680000e+05,1.1856011202e+05,3.1049248275e+02,1.0000000000e+00,6.9854652472e+01,6.9854652472e+01,1.0000000000e-02,0.0000000000e+00,5.7871574281e+19,2.1507450753e+20,0.0000000000e+00,4.6892316399e+20,1.0765592063e+18,6.6626689823e+20,2.0637920717e+02,3.8253832750e+00,1.0206363250e+02,3.0507381627e+01,1.2815729553e-01,2.8975564842e-12,6.9854652472e+01,3.7071491143e-02,6.6818169093e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0297000000e+04,3.0489632340e+03,3.6694582540e+03,1.1835660000e+05,1.1151617316e+05,3.1049266491e+02,1.0000000000e+00,5.6070905310e+01,5.6070905310e+01,1.0000000000e-02,0.0000000000e+00,5.8605834889e+19,2.1433805008e+20,0.0000000000e+00,4.6893650758e+20,1.0632046210e+18,6.3485688755e+20,1.9372120466e+02,3.8256009869e+00,1.0370191036e+02,2.9997138726e+01,1.2564927536e-01,3.0027734821e-12,5.6070905310e+01,3.7515389238e-02,6.6709991795e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
