z(m),p_tot(bar),T(K)
2.3155064884e+05,1.1789820279e-04,3.1055521132e+02
2.2927626082e+05,1.6387833945e-04,3.3469886184e+02
2.2683684088e+05,2.2779066605e-04,3.5923657968e+02
2.2430169514e+05,3.1662871196e-04,3.6189242668e+02
2.2176118715e+05,4.4011347338e-04,3.6206346691e+02
2.1922551268e+05,6.1175712162e-04,3.6223251331e+02
2.1668868954e+05,8.5034155619e-04,3.6462950144e+02
2.1413751491e+05,1.1819735915e-03,3.6832579520e+02
2.1156424853e+05,1.6429416637e-03,3.7268150957e+02
2.0896787487e+05,2.2836866490e-03,3.7634209021e+02
2.0635240039e+05,3.1743212957e-03,3.7932380010e+02
2.0371535375e+05,4.4123022275e-03,3.8366642641e+02
2.0104440444e+05,6.1330940171e-03,3.9030343753e+02
1.9832490315e+05,8.5249922337e-03,3.9926100349e+02
1.9554355452e+05,1.1849727459e-02,4.0992208759e+02
1.9268527635e+05,1.6471104842e-02,4.2320408220e+02
1.8970249681e+05,2.2894813037e-02,4.4836762386e+02
1.8653690392e+05,3.1823758578e-02,4.7787739382e+02
1.8316688076e+05,4.4234980577e-02,5.0878042316e+02
1.7958067007e+05,6.1486562057e-02,5.4104945665e+02
1.7576611994e+05,8.5466236544e-02,5.7471877795e+02
1.7170774986e+05,1.1879795104e-01,6.0988416479e+02
1.6738413808e+05,1.6512898827e-01,6.4667030644e+02
1.6277742047e+05,2.2952906619e-01,6.8514821084e+02
1.5788345819e+05,3.1904508577e-01,7.2526626570e+02
1.5271154251e+05,4.4347222964e-01,7.6470237638e+02
1.4727910132e+05,6.1642578820e-01,8.0153722770e+02
1.4157211762e+05,8.5683099630e-01,8.4652619562e+02
1.3555812413e+05,1.1909939043e+00,8.9345537447e+02
1.2922777683e+05,1.6554798861e+00,9.4236983132e+02
1.2256792295e+05,2.3011147608e+00,9.9332382451e+02
1.1556506958e+05,3.1985463471e+00,1.0463902069e+03
1.0820499673e+05,4.4459750156e+00,1.1016541733e+03
1.0047316137e+05,6.1798991462e+00,1.1592090367e+03
9.2354228514e+04,8.5900512987e+00,1.2191533522e+03
8.3835122880e+04,1.1940159470e+01,1.2815914615e+03
7.4904803833e+04,1.6596805212e+01,1.3466397883e+03
6.5546971516e+04,2.3069536379e+01,1.4144219964e+03
5.5741782035e+04,3.2066623782e+01,1.4850616315e+03
4.5467086403e+04,4.4572562876e+01,1.5586828720e+03
3.4697640011e+04,6.1955800987e+01,1.6354233142e+03
2.3404426551e+04,8.6118478011e+01,1.7154357156e+03
1.1552826742e+04,1.1970456578e+02,1.7988864091e+03
2.5838917379e+03,1.5060075772e+02,1.8594277604e+03
0.0000000000e+00,1.6084099505e+02,1.8961712924e+03
