t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_H2S(bar),p_N2(bar),p_SO2(bar),p_NH3(bar)
2.9200000000e+02,3.1281706984e+03,3.9074685703e+03,1.5179700000e+05,1.5837863294e+05,1.2243878379e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5726539343e+19,2.1683539193e+20,0.0000000000e+00,4.6888200941e+20,1.1157391836e+18,7.9313650654e+20,2.5744430395e+02,3.8247118425e+00,9.7393737668e+01,3.1775950251e+01,1.3516578878e-01,2.6376003673e-12,1.2431473840e+02,3.5827033912e-02,6.7291639509e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.1281158971e+03,3.9074685703e+03,1.5035290000e+05,1.5703513555e+05,1.2243837469e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5645176913e+19,2.1653080493e+20,0.0000000000e+00,4.6887993426e+20,1.1158284128e+18,7.9245025178e+20,2.5725136882e+02,3.8246779881e+00,9.7248291312e+01,3.1728496521e+01,1.3516459237e-01,2.6336147908e-12,1.2431473840e+02,3.5823851843e-02,6.7282635473e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.1280650210e+03,3.9074685703e+03,1.4900930000e+05,1.5594828546e+05,1.2243771948e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5515034578e+19,2.1604358089e+20,0.0000000000e+00,4.6887660981e+20,1.1159714473e+18,7.9135258788e+20,2.5694277880e+02,3.8246237529e+00,9.7015657270e+01,3.1652596695e+01,1.3516267568e-01,2.6272402355e-12,1.2431473840e+02,3.5818752357e-02,6.7277171506e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.1280272574e+03,3.9074685703e+03,1.4792250000e+05,1.5482537620e+05,1.2243667115e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5307042588e+19,2.1526483964e+20,0.0000000000e+00,4.6887128346e+20,1.1162008359e+18,7.8959838278e+20,2.5644963763e+02,3.8245368593e+00,9.6643897452e+01,3.1531305308e+01,1.3515960486e-01,2.6170538438e-12,1.2431473840e+02,3.5810577685e-02,6.7272162461e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.1279917853e+03,3.9074685703e+03,1.4679970000e+05,1.5384138571e+05,1.2243499478e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.4974828211e+19,2.1402082949e+20,0.0000000000e+00,4.6886274192e+20,1.1165692620e+18,7.8679666046e+20,2.5566208201e+02,3.8243975157e+00,9.6050190557e+01,3.1337600854e+01,1.3515468043e-01,2.6007871223e-12,1.2431473840e+02,3.5797457238e-02,6.7268747730e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,3.1278721959e+03,3.9074685703e+03,1.4581580000e+05,1.5359184414e+05,1.2243231162e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.4443708388e+19,2.1203155859e+20,0.0000000000e+00,4.6884899851e+20,1.1171635324e+18,7.8231791708e+20,2.5440328361e+02,3.8241733157e+00,9.5101233599e+01,3.1027991532e+01,1.3514675718e-01,2.5747899444e-12,1.2431473840e+02,3.5776317472e-02,6.7269527698e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0280000000e+03,3.1279562521e+03,3.9074685703e+03,1.4556640000e+05,1.5269196009e+05,1.2242801921e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.3594453520e+19,2.0884957930e+20,0.0000000000e+00,4.6882679461e+20,1.1181274398e+18,7.7515757566e+20,2.5239121677e+02,3.8238111115e+00,9.3584421178e+01,3.0533112116e+01,1.3513395684e-01,2.5332435222e-12,1.2431473840e+02,3.5742090069e-02,6.7268593548e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.8130000000e+03,3.1068348403e+03,3.8259946590e+03,1.4466670000e+05,1.3792038784e+05,1.2242516666e+04,1.0000000000e+00,9.7084206978e+01,9.7084206978e+01,1.0000000000e-02,0.0000000000e+00,5.3887602030e+19,2.0587983254e+20,0.0000000000e+00,4.6882917973e+20,1.1014124988e+18,7.0588345390e+20,2.2515367421e+02,3.8238500182e+00,9.4444494434e+01,2.9669083510e+01,1.3203927334e-01,2.6062025091e-12,9.7084206978e+01,3.6256502146e-02,6.7079527833e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.3550000000e+03,3.0772174791e+03,3.7387201648e+03,1.2989510000e+05,1.2674450832e+05,1.2242430051e+04,1.0000000000e+00,7.2219110816e+01,7.2219110816e+01,1.0000000000e-02,0.0000000000e+00,5.4714711620e+19,2.0425415825e+20,0.0000000000e+00,4.6884457825e+20,1.0817418300e+18,6.4645357499e+20,2.0144023560e+02,3.8241012082e+00,9.6330608750e+01,2.8937912038e+01,1.2850278805e-01,2.7250777928e-12,7.2219110816e+01,3.6885141701e-02,6.6910595979e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.7890000000e+03,3.0547800650e+03,3.6750722437e+03,1.1871930000e+05,1.1924116920e+05,1.2242360694e+04,1.0000000000e+00,5.7266566798e+01,5.7266566798e+01,1.0000000000e-02,0.0000000000e+00,5.5321993111e+19,2.0301340863e+20,0.0000000000e+00,4.6885554393e+20,1.0674212577e+18,6.1102940151e+20,1.8731548171e+02,3.8242800922e+00,9.7738038764e+01,2.8360752524e+01,1.2584352852e-01,2.8226912328e-12,5.7266566798e+01,3.7356537396e-02,6.6795391373e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
