z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.9985873255e+05,1.1560081290e-01,3.3420225253e+02,7.7506413002e-02,3.5401465570e-02,5.7627816998e-29,2.5696329275e-03,1.0408857759e-07,1.2322054582e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9489273286e+05,1.6597237375e-01,3.6376500925e+02,1.1127879412e-01,5.0827728383e-02,5.5164552630e-29,3.6892524595e-03,3.1306510022e-07,1.7631886376e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8950029690e+05,2.3829269154e-01,3.9545654245e+02,1.5976735475e-01,7.2976453327e-02,5.1406837204e-29,5.2962270185e-03,9.5073737449e-07,2.5175362932e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8365215553e+05,3.4212565354e-01,4.2936559502e+02,2.2938585257e-01,1.0477772277e-01,4.5828568032e-29,7.6010856185e-03,2.9324055604e-06,3.5812840386e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7731966912e+05,4.9120248739e-01,4.6557227247e+02,3.2934662399e-01,1.5043924163e-01,3.8036506396e-29,1.0901216419e-02,9.2654544627e-06,5.0624003568e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7047223339e+05,7.0523762578e-01,5.0415204045e+02,4.7289311671e-01,2.1600344770e-01,2.8354407372e-29,1.5602887581e-02,3.0262824607e-05,7.0805321490e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6308018226e+05,1.0125358108e+00,5.4519928353e+02,6.7910298279e-01,3.1014407553e-01,1.8523279981e-29,2.2212895361e-02,1.0196872203e-04,9.7409827411e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5511234090e+05,1.4537352101e+00,5.8880484415e+02,9.7556377442e-01,4.4529640140e-01,1.1435873122e-29,3.1224623270e-02,3.3643150335e-04,1.3142882126e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4653891533e+05,2.0871815481e+00,6.3504371538e+02,1.4020272917e+00,6.3925876512e-01,1.0008120216e-29,4.3184729923e-02,9.2465744415e-04,1.7865768142e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3734049294e+05,2.9966439449e+00,6.8399577221e+02,2.0141456271e+00,9.1751864620e-01,3.2773688713e-29,6.0608667583e-02,1.6370117359e-03,2.7346944038e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2748682936e+05,4.3023928324e+00,7.3575630147e+02,2.8900975124e+00,1.3163097273e+00,1.0821524443e-27,8.9264257759e-02,1.4391192965e-03,5.2832079828e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1693024123e+05,6.1771049296e+00,7.9042023671e+02,4.1484998323e+00,1.8864476038e+00,2.3972670245e-25,1.2998506231e-01,5.9414273639e-04,1.1579709016e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0563306792e+05,8.8686986050e+00,8.4806685917e+02,5.9619129893e+00,2.7007008640e+00,7.8027885077e-23,1.8127946933e-01,1.8123553668e-04,2.4626263190e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
