z(m),p_tot(bar),T(K)
3.9074372946e+05,1.1888369917e-04,1.9206071357e+02
3.9064937008e+05,1.6802230190e-04,1.6666279874e+02
3.9056260049e+05,2.3747153001e-04,1.6512122515e+02
3.9047654350e+05,3.3562644321e-04,1.6391747203e+02
3.9039051769e+05,4.7435205970e-04,1.6524119313e+02
3.9030331995e+05,6.7041760593e-04,1.6854602844e+02
3.9021379792e+05,9.4752358960e-04,1.7431582919e+02
3.9012078091e+05,1.3391667297e-03,1.8215874557e+02
3.9002320223e+05,1.8926890576e-03,1.9183747261e+02
3.8992011715e+05,2.6750006473e-03,2.0337377636e+02
3.8981089329e+05,3.7806677407e-03,2.1549639169e+02
3.8969551949e+05,5.3433439651e-03,2.2677932297e+02
3.8957428485e+05,7.5519264552e-03,2.3797150042e+02
3.8944730204e+05,1.0673389839e-02,2.4884252708e+02
3.8931467541e+05,1.5085058274e-02,2.5961983601e+02
3.8917634105e+05,2.1320216592e-02,2.7108637412e+02
3.8903190179e+05,3.0132574051e-02,2.8367954483e+02
3.8888083290e+05,4.2587373119e-02,2.9801737278e+02
3.8603325359e+05,6.0190156541e-02,3.1102690219e+02
3.7988243941e+05,8.5068758159e-02,3.2353088267e+02
3.7348121095e+05,1.2023051659e-01,3.3848307032e+02
3.6675725178e+05,1.6992580394e-01,3.5900610454e+02
3.5955832234e+05,2.4016181300e-01,3.9057417967e+02
3.5175212810e+05,3.3942871000e-01,4.2463359709e+02
3.4329523382e+05,4.7972593032e-01,4.6127958543e+02
3.3413989644e+05,6.7801267673e-01,5.0061416045e+02
3.2423264479e+05,9.5825795678e-01,5.4276064155e+02
3.1352050661e+05,1.3543379693e+00,5.8782889246e+02
3.0195909571e+05,1.9141310771e+00,6.3590687880e+02
2.8952985386e+05,2.7053053695e+00,6.8706998115e+02
2.7619601605e+05,3.8234984165e+00,7.4138498153e+02
2.6188046742e+05,5.4038779895e+00,7.9890730771e+02
2.4654060861e+05,7.6374812132e+00,8.5967915167e+02
2.3013854523e+05,1.0794307236e+01,9.2373436435e+02
2.1262282251e+05,1.5255954869e+01,9.9110085604e+02
1.9392196500e+05,2.1561750455e+01,1.0618087947e+03
1.7397868807e+05,3.0473941926e+01,1.1358955977e+03
1.5279940128e+05,4.3069839735e+01,1.2134083644e+03
1.3035610472e+05,6.0872042721e+01,1.2944094771e+03
1.0660555008e+05,8.6032490667e+01,1.3789814692e+03
8.1524998828e+04,1.2159259193e+02,1.4672259496e+03
5.5071961439e+04,1.7185087049e+02,1.5592634806e+03
2.7221476162e+04,2.4288257385e+02,1.6552351112e+03
6.0901207642e+03,3.0913919615e+02,1.7248073890e+03
0.0000000000e+00,3.3125733768e+02,1.7454347690e+03
