z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.7408235344e+05,4.5325059685e-02,8.6972403832e+02,3.3831983992e-04,4.2129072631e-02,1.3875179471e-23,6.4794689098e-05,6.8496317002e-12,2.7928660237e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6752859064e+05,6.2024156377e-02,9.1637009985e+02,4.8135153402e-04,5.7632206606e-02,1.0729369150e-21,7.0281969547e-05,1.5123616752e-12,3.8402593521e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6063985784e+05,8.4875695720e-02,9.6489447648e+02,6.7734968026e-04,7.8847035281e-02,5.5275521412e-20,7.7522337329e-05,4.1397623627e-13,5.2737630798e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5340425339e+05,1.1614642012e-01,1.0154054356e+03,9.4614788993e-04,1.0787741908e-01,2.0451199989e-18,8.6841519739e-05,1.3556249849e-13,7.2359889874e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4580957258e+05,1.5893820712e-01,1.0679428439e+03,1.3149422886e-03,1.4760265225e-01,5.7752171366e-17,9.8631859182e-05,5.1521071091e-14,9.9220285826e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3784390555e+05,2.1749575801e-01,1.1225571688e+03,1.8209515765e-03,2.0196235804e-01,1.2997740122e-15,1.1342520180e-04,2.2235388149e-14,1.3599076894e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2949562923e+05,2.9762764792e-01,1.1792938348e+03,2.5151129955e-03,2.7634782477e-01,2.3996539186e-14,1.3194429547e-04,1.0739887985e-14,1.8632783019e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2075295969e+05,4.0728250344e-01,1.2381414542e+03,3.4671394809e-03,3.7813719067e-01,3.6976005468e-13,1.5517048711e-04,5.7558991449e-15,2.5523027171e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1160412316e+05,5.5733746096e-01,1.2991206627e+03,4.7725877393e-03,5.1743990813e-01,4.8269918431e-12,1.8434632641e-04,3.3950580685e-15,3.4947810616e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0203738711e+05,7.6267711668e-01,1.3622631498e+03,6.5619902404e-03,7.0804857083e-01,5.3997533429e-11,2.2120442089e-04,2.1934596867e-15,4.7854906740e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9204095601e+05,1.0436699936e+00,1.4276282560e+03,9.0143953065e-03,9.6888071898e-01,5.2396456231e-10,2.6787558462e-04,1.5412449490e-15,6.5520446571e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8160288693e+05,1.4281889828e+00,1.4953179004e+03,1.2374783790e-02,1.3258057138e+00,4.4613341160e-09,3.2717548525e-04,1.1704863153e-15,8.9699451225e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7071080159e+05,1.9543761756e+00,1.5654546252e+03,1.6978429756e-02,1.8142246934e+00,3.3686649172e-08,4.0277951461e-04,9.5516121089e-16,1.2279325604e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5935072636e+05,2.6744263412e+00,1.6384579366e+03,2.3284147397e-02,2.4825855534e+00,2.2938563867e-07,4.9931096349e-04,8.2966204747e-16,1.6808620975e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4750824793e+05,3.6597643502e+00,1.7140662090e+03,3.1918444672e-02,3.3971717388e+00,1.4047403453e-06,6.2332503402e-04,7.6832407840e-16,2.3007962874e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3516972760e+05,5.0081301147e+00,1.7924731424e+03,4.3736655011e-02,4.6486868628e+00,7.8093300914e-06,7.8311630656e-04,7.5453123648e-16,3.1493525172e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2232050318e+05,6.8532738303e+00,1.8738533472e+03,5.9902833522e-02,6.3611834695e+00,3.9701900089e-05,9.8968041509e-04,7.8257091217e-16,4.3112561498e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0894472820e+05,9.3782232323e+00,1.9583756360e+03,8.1994506299e-02,8.7042208839e+00,1.8568376026e-04,1.2576696384e-03,8.5458795620e-16,5.9037154073e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5024914650e+04,1.2833438904e+01,2.0463187161e+03,1.1213376818e-01,1.1909033350e+01,8.0365380289e-04,1.6070050060e-03,9.8064446911e-16,8.0921893647e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0542002366e+04,1.7561658539e+01,2.1377081787e+03,1.5314302480e-01,1.6289483746e+01,3.2155549550e-03,2.0667092864e-03,1.1874936913e-15,1.1119802756e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5474386793e+04,2.4031894565e+01,2.2328224414e+03,2.0870708858e-01,2.2266887809e+01,1.1873102898e-02,2.6824962895e-03,1.5330261634e-15,1.5372526970e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9794868827e+04,3.2885957501e+01,2.3319476769e+03,2.8351211214e-01,3.0395783256e+01,4.0069691301e-02,3.5347717343e-03,2.1601978414e-15,2.1522299802e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3474052426e+04,4.5002119905e+01,2.4335533917e+03,3.8347374427e-01,4.1394066946e+01,1.1949035342e-01,4.7683827144e-03,3.4602159418e-15,3.0756686111e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6482849184e+04,6.1582236002e+01,2.5369162621e+03,5.1605412440e-01,5.6190137908e+01,3.1116554212e-01,6.6128916201e-03,6.4167074959e-15,4.5053636245e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7214185190e+03,7.6636606607e+01,2.6161402512e+03,6.3150045975e-01,6.9313335948e+01,5.8657473318e-01,8.4713197955e-03,1.0693324096e-14,6.0066233235e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6659338184e+01,8.1592725085e+01,2.6876971616e+03,6.5693768507e-01,7.2851663622e+01,9.3129616438e-01,9.5295712523e-03,1.3038812265e-14,7.0107456916e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
