t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
2.9200000000e+02,3.2918128700e+03,3.8717696658e+03,1.0563450000e+05,1.0602738288e+05,5.9400099508e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8737608234e+19,2.2425920446e+20,0.0000000000e+00,7.7556635643e+20,4.4335805573e+18,8.2457973560e+20,2.7998903606e+02,1.5844124438e+01,1.0500953767e+02,3.4260702227e+01,5.5993331405e-01,4.8802914213e-11,1.2431473840e+02,3.5164321331e-02,6.3954565159e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.2918123021e+03,3.8717696658e+03,1.0563460000e+05,1.0602749753e+05,5.9400121324e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8737085648e+19,2.2425691357e+20,0.0000000000e+00,7.7556629812e+20,4.4335832496e+18,8.2457460587e+20,2.7998750538e+02,1.5844122056e+01,1.0500838541e+02,3.4260326285e+01,5.5993322985e-01,4.8802364022e-11,1.2431473840e+02,3.5164294689e-02,6.3954562132e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.2918113860e+03,3.8717696658e+03,1.0563470000e+05,1.0602767914e+05,5.9400156259e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8736248690e+19,2.2425324456e+20,0.0000000000e+00,7.7556620472e+20,4.4335875616e+18,8.2456639028e+20,2.7998505390e+02,1.5844118240e+01,1.0500653997e+02,3.4259724189e+01,5.5993309499e-01,4.8801482855e-11,1.2431473840e+02,3.5164252020e-02,6.3954557257e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.2918099279e+03,3.8717696658e+03,1.0563490000e+05,1.0602796690e+05,5.9400212156e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8734909556e+19,2.2424737413e+20,0.0000000000e+00,7.7556605528e+20,4.4335944609e+18,8.2455324531e+20,2.7998113153e+02,1.5844112134e+01,1.0500358728e+02,3.4258760833e+01,5.5993287922e-01,4.8800072986e-11,1.2431473840e+02,3.5164183748e-02,6.3954549418e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.2918076030e+03,3.8717696658e+03,1.0563520000e+05,1.0602843442e+05,5.9400301536e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8732768155e+19,2.2423798674e+20,0.0000000000e+00,7.7556581632e+20,4.4336054941e+18,8.2453222529e+20,2.7997485929e+02,1.5844102370e+01,1.0499886564e+02,3.4257220341e+01,5.5993253416e-01,4.8797818481e-11,1.2431473840e+02,3.5164074571e-02,6.3954536939e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,3.2920201607e+03,3.8717696658e+03,1.0563560000e+05,1.0598570070e+05,5.9400444599e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8729340667e+19,2.2422296143e+20,0.0000000000e+00,7.7556543381e+20,4.4336231549e+18,8.2449858102e+20,2.7996482008e+02,1.5844086742e+01,1.0499130829e+02,3.4254754659e+01,5.5993198185e-01,4.8794209971e-11,1.2431473840e+02,3.5163899814e-02,6.3953343983e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0280000000e+03,3.2920109048e+03,3.8717696658e+03,1.0559290000e+05,1.0598779446e+05,5.9400673468e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8723857738e+19,2.2419892546e+20,0.0000000000e+00,7.7556482187e+20,4.4336514096e+18,8.2444476059e+20,2.7994876047e+02,1.5844061739e+01,1.0497921889e+02,3.4250810337e+01,5.5993109825e-01,4.8788437497e-11,1.2431473840e+02,3.5163620232e-02,6.3953330749e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0828000000e+04,3.2630241847e+03,3.7915319678e+03,1.0559500000e+05,9.7460539612e+04,5.9400997255e+02,1.0000000000e+00,9.6343307255e+01,9.6343307255e+01,1.0000000000e-02,0.0000000000e+00,4.9436608164e+19,2.2344441253e+20,0.0000000000e+00,7.7562158477e+20,4.3760626343e+18,7.6185383461e+20,2.5323132740e+02,1.5846381049e+01,1.0693964123e+02,3.3555204450e+01,5.4679342185e-01,5.0710338492e-11,9.6343307255e+01,3.5602876350e-02,6.3770346303e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1451000000e+04,3.2300809760e+03,3.7093858774e+03,9.7067720000e+04,8.8640116333e+04,5.9401050341e+02,1.0000000000e+00,7.2349640272e+01,7.2349640272e+01,1.0000000000e-02,0.0000000000e+00,5.0217706545e+19,2.2265652866e+20,0.0000000000e+00,7.7568286779e+20,4.3146467198e+18,7.0899696279e+20,2.3062273625e+02,1.5848885241e+01,1.0910676366e+02,3.2784783132e+01,5.3266394606e-01,5.3007478672e-11,7.2349640272e+01,3.6084050560e-02,6.3581554897e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1949000000e+04,3.2042191566e+03,3.6492551637e+03,8.8247300000e+04,8.2288758486e+04,5.9401092774e+02,1.0000000000e+00,5.7888392789e+01,5.7888392789e+01,1.0000000000e-02,0.0000000000e+00,5.0795596083e+19,2.2207326533e+20,0.0000000000e+00,7.7572710392e+20,4.2703064567e+18,6.7763213446e+20,2.1717402164e+02,1.5850692973e+01,1.1073044782e+02,3.2182392430e+01,5.2209562623e-01,5.4882945788e-11,5.7888392789e+01,3.6439227841e-02,6.3451353564e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
