z(m),p_tot(bar),T(K)
3.9512645018e+05,1.1899166080e-04,1.9283751788e+02
3.9504264766e+05,1.6848047508e-04,1.6573868665e+02
3.9496606107e+05,2.3855176312e-04,1.6398106304e+02
3.9489016858e+05,3.3776580736e-04,1.6274759509e+02
3.9481432720e+05,4.7824312481e-04,1.6401486075e+02
3.9473742365e+05,6.7714517408e-04,1.6742378713e+02
3.9465839117e+05,9.5877089078e-04,1.7338493056e+02
3.9457615850e+05,1.3575251751e-03,1.8148321979e+02
3.9448974864e+05,1.9221219780e-03,1.9147452785e+02
3.9439831028e+05,2.7215354573e-03,2.0333641196e+02
3.9430124708e+05,3.8534262291e-03,2.1574778719e+02
3.9419862489e+05,5.4560721093e-03,2.2718416331e+02
3.9409078541e+05,7.7252608696e-03,2.3833584959e+02
3.9397787929e+05,1.0938208716e-02,2.4893221453e+02
3.9386011766e+05,1.5487426502e-02,2.5937383514e+02
3.9373740434e+05,2.1928670943e-02,2.7071920722e+02
3.9360931110e+05,3.1048838829e-02,2.8335107184e+02
3.9347544919e+05,4.3962098529e-02,2.9746388384e+02
3.9060995376e+05,6.2246002749e-02,3.1008445258e+02
3.8439762598e+05,8.8134210783e-02,3.2227372470e+02
3.7794088193e+05,1.2478936425e-01,3.3657338822e+02
3.7117195628e+05,1.7668945228e-01,3.5620317852e+02
3.6393160437e+05,2.5017486654e-01,3.8774568315e+02
3.5607638983e+05,3.5422297733e-01,4.2180258256e+02
3.4756184294e+05,5.0154485701e-01,4.5847300874e+02
3.3833938528e+05,7.1013813245e-01,4.9786106164e+02
3.2835409230e+05,1.0054856712e+00,5.4009305901e+02
3.1755071882e+05,1.4236687043e+00,5.8528343446e+02
3.0588323949e+05,2.0157747024e+00,6.3352280162e+02
2.9333675768e+05,2.8541384935e+00,6.8488800988e+02
2.7986525342e+05,4.0411790715e+00,7.3944728233e+02
2.6539685310e+05,5.7219116469e+00,7.9725712090e+02
2.4989290405e+05,8.1016634787e+00,8.5836039332e+02
2.3329859549e+05,1.1471157748e+01,9.2279106421e+02
2.1557570891e+05,1.6242029853e+01,9.9057669266e+02
1.9663722522e+05,2.2997114986e+01,1.0617470939e+03
1.7643335499e+05,3.2561650388e+01,1.1363394368e+03
1.5497816962e+05,4.6104090737e+01,1.2144009132e+03
1.3222354212e+05,6.5278852802e+01,1.2959945074e+03
1.0814242269e+05,9.2428427826e+01,1.3812037973e+03
8.2700121061e+04,1.3086955275e+02,1.4701320432e+03
5.5862502810e+04,1.8529840051e+02,1.5629021092e+03
2.7609422910e+04,2.6236428954e+02,1.6596576992e+03
6.1687961120e+03,3.3435834902e+02,1.7272159950e+03
0.0000000000e+00,3.5841058990e+02,1.7457387828e+03
