z(m),p_tot(bar),T(K)
4.7871920902e+05,1.1422773718e-04,5.5905766453e+02
4.7074066910e+05,1.4904407666e-04,5.4407644388e+02
4.6297120246e+05,1.9447235266e-04,5.3287929718e+02
4.5531779727e+05,2.5374705788e-04,5.3101314347e+02
4.4769543415e+05,3.3108855065e-04,5.3108602912e+02
4.4008091787e+05,4.3200354435e-04,5.3239439716e+02
4.3246241235e+05,5.6367718535e-04,5.3407466876e+02
4.2483422871e+05,7.3548463534e-04,5.3619077103e+02
4.1719014646e+05,9.5965858275e-04,5.3877047283e+02
4.0952635979e+05,1.2521602100e-03,5.4141635923e+02
4.0183812414e+05,1.6338156295e-03,5.4473727874e+02
3.9411452960e+05,2.1317987028e-03,5.4898374171e+02
3.8634680796e+05,2.7815658186e-03,5.5354552400e+02
3.7853260461e+05,3.6293803882e-03,5.5816807573e+02
3.7067144831e+05,4.7356067989e-03,5.6284661699e+02
3.6275553719e+05,6.1790083582e-03,5.6872196611e+02
3.5476593629e+05,8.0623552401e-03,5.7620859998e+02
3.4667575871e+05,1.0519741721e-02,5.8608304815e+02
3.3844165996e+05,1.3726133689e-02,6.0005281531e+02
3.3000726092e+05,1.7909826214e-02,6.1823646961e+02
3.2132527308e+05,2.3368698157e-02,6.3919771607e+02
3.1236702112e+05,3.0491421134e-02,6.6251102904e+02
3.0308611046e+05,3.9785132938e-02,6.9031254848e+02
2.9342602542e+05,5.1911545742e-02,7.2183959187e+02
2.8338116376e+05,6.7734059995e-02,7.5155033122e+02
2.7300016530e+05,8.8379238525e-02,7.7564950060e+02
2.6233379953e+05,1.1531701780e-01,7.9776832275e+02
2.5138025642e+05,1.5046536740e-01,8.2312560956e+02
2.4010692527e+05,1.9632684939e-01,8.5148305336e+02
2.2848001613e+05,2.5616680075e-01,8.8227730517e+02
2.1644355661e+05,3.3424582533e-01,9.1897947911e+02
2.0389273201e+05,4.3612314876e-01,9.6641081405e+02
1.9072608552e+05,5.6905243526e-01,1.0198991145e+03
1.7689661995e+05,7.4249824849e-01,1.0753994194e+03
1.6238075725e+05,9.6880992832e-01,1.1329238543e+03
1.4715874528e+05,1.2641008637e+00,1.1924875388e+03
1.3122181448e+05,1.6493957657e+00,1.2541156366e+03
1.1455920720e+05,2.1521276270e+00,1.3178411654e+03
9.7147521162e+04,2.8080909500e+00,1.3837028125e+03
7.8964121004e+04,3.6639903159e+00,1.4517489052e+03
6.0003574492e+04,4.7807657492e+00,1.5220369892e+03
4.0261788395e+04,6.2379316479e+00,1.5946357553e+03
1.9714667198e+04,8.1392382069e+00,1.6696443615e+03
4.4089870639e+03,9.7981921797e+00,1.7237808926e+03
0.0000000000e+00,1.0333258669e+01,1.7557983714e+03
