planet ,τ ,Case ,Model ,t(yr) ,T_surf(K) ,T_pot(K) ,flux_surf(W/m2) ,flux_OLR(W/m2) ,flux_ASR(W/m2) ,phi(vol_frac) ,fO2_solid(bar) ,fO2_melt(bar) ,thick_surf_bl(m) ,massC_solid(kg) ,massC_melt(kg) ,massC_atm(kg) ,massH_solid(kg) ,massH_melt(kg) ,massH_atm(kg) ,massO_atm(kg) ,p_surf(bar) ,p_H2O(bar) ,p_CO2(bar) ,p_CO(bar) ,p_H2(bar) ,p_CH4(bar) ,p_O2(bar) ,mmw(kg/mol) ,R_trans(m) ,R_solid(m) ,viscosity(Pa.s)
trappist-1e,4 ,Hot ,proteus ,9913.00 ,3.0327581646e+03 ,3.6251164960e+03 ,1.1144250000e+05 ,1.0733923921e+05 ,1.9059947793e+03 ,1.0000000000e+00 ,4.7318133172e+01 ,4.7318133172e+01 ,1.0000000000e-02 ,0.0000000000e+00 ,5.8644481355e+19 ,2.1204750201e+20 ,0.0000000000e+00 ,4.6893406001e+20 ,1.0540729762e+18 ,6.1108849531e+20 ,1.8461858945e+02 ,3.8255610522e+00 ,1.0401059684e+02 ,2.9340534550e+01 ,1.2376383924e-01 ,3.0595915139e-12 ,4.7318133172e+01 ,3.7821953630e-02 ,6.6646202096e+06 ,3.4719930453e+06 ,1.0000000000e+02
trappist-1e,4 ,Cold ,pacman ,9990.19 ,2081.6713705826432 ,2095.3816035233003 ,4888.196006367822 ,6158.699045523394 ,1270.543833993105 ,0.06950131910199805 ,0.0002695716416427418 ,0.00018293520031133356 ,0.011780006013618676 ,1.5306433106760176e+19 ,1.6240765092643439e+19 ,2.4145267492065247e+20 ,1.8645735302319322e+20 ,2.7866340165899115e+20 ,4.874527853939395e+18 ,6.274966137601849e+20 ,168.16970080710857 ,17.546791162353177 ,124.82223645603608 ,25.177776938687845 ,0.6227133039725464 ,1.085860610149774e-08 ,0.0001829352003113335 ,0.038969317824938704 ,NaN ,6008807.0797979515 ,0.01599591525978249
trappist-1e,6 ,Hot ,neongooey ,1007724.39 ,2.728351136022E+03 ,2.728398503372E+03 ,3.992526774385E+00 ,2.126422884139E+04 ,2.126023568178E+04 ,4.074627801693E-01 ,NaN ,NaN ,4.982881340426E-02 ,3.853475385825E+16 ,3.353674354700E+19 ,2.391463350512E+20 ,4.973400525700E+18 ,4.472004688349E+20 ,7.145689250721E+19 ,1.733385360933E+16 ,2.136712188566E+02 ,3.534282616839E+01 ,1.685364486301E+02 ,NaN ,9.788610139405E+00 ,NaN ,3.333918700971E-03 ,3.778607607046E-02 ,NaN ,5.123196777179E+06 ,1.041210988522E-06
trappist-1e,6 ,Cold ,moai ,996805.67 ,1625.8549738675663 ,1625.2535040163425 ,31.3485372482087 ,1264.1640763726039 ,1232.8155037424056 ,0.03390832859992547 ,NaN ,4.0622292786507043e-07 ,NaN ,6370200433760196.0 ,1.4821798882666678e+18 ,1.858222339770548e+19 ,6683237835652220.0 ,3.0697345263645184e+19 ,2.5611045427928393e+20 ,NaN ,210.19042569969864 ,62.56148375316618 ,139.6845763168956 ,6.022057485667216 ,0.8694267053181947 ,6.540678986062649e-08 ,4.0622292786507043e-07 ,0.03557597158966611 ,NaN ,1.0 ,NaN 
Venus ,3 ,Hot ,planatmo ,1.00e+03 ,3.318153e+03 ,3.390610e+03 ,9.382918e+04 ,9.458674e+04 ,7.575627e+02 ,1.000000e+00 ,NaN ,NaN ,3.110161e-03 ,0.000000e+00 ,5.439663e+19 ,2.184937e+20 ,0.000000e+00 ,4.664838e+20 ,3.437634e+18 ,6.093653e+20 ,1.594630e+02 ,1.367651e+01 ,1.457865e+02 ,NaN ,NaN ,NaN ,NaN ,4.177008e-02 ,NaN ,3.332557e+06 ,1.643912e-03
Venus,3 ,Cold ,pacman ,1.02e+03 ,2815.5813460922573 ,2890.8582230649995 ,82469.99200096732 ,82866.01681363829 ,396.1002973085807 ,0.7005338583136062 ,0.14602221344027635 ,0.09987495496217358 ,0.0038336718073382252 ,1.467159469236961e+18 ,4.17626074773713e+19 ,2.2977023305339188e+20 ,1.6537779067528348e+19 ,4.5241848636039024e+20 ,1.0435047276006469e+18 ,5.0516986525513417e+20 ,141.7275774079566 ,3.5340637851362753 ,85.73613701031158 ,52.134711130069 ,0.22279052729926635 ,1.7832962658328894e-10 ,0.09987495496217358 ,0.03761742770771132 ,NaN ,3968465.457142414 ,0.0027336600701286704
Venus,4 ,Hot ,proteus ,9.87e+03 ,3.0997321179e+03 ,3.6445900418e+03 ,1.0894170000e+05 ,1.0228849023e+05 ,5.9400915455e+02 ,1.0000000000e+00 ,5.6872055935e+01 ,5.6872055935e+01 ,1.0000000000e-02 ,0.0000000000e+00 ,5.1964592737e+19 ,2.2092789195e+20 ,0.0000000000e+00 ,4.6848483616e+20 ,1.5144025142e+18 ,6.4854515274e+20 ,2.0903944795e+02 ,5.7804927217e+00 ,1.1334199421e+02 ,3.2854807336e+01 ,1.9009775445e-01 ,7.4833223938e-12 ,5.6872055935e+01 ,3.7470504836e-02 ,6.3094892143e+06 ,3.2495250251e+06 ,1.0000000000e+02
Venus,4 ,Cold ,pacman ,1.00e+04 ,2082.0074437913154 ,2098.04935072999 ,5845.351282005832 ,6241.497911726925 ,396.1002973085807 ,0.08422921541776199 ,0.0003429229282387039 ,0.00023806487460420226 ,0.011526426025043342 ,1.3099031748036448e+19 ,1.7984138648773917e+19 ,2.419168296031904e+20 ,1.6287540263635786e+20 ,3.022054741908898e+20 ,4.914827909489939e+18 ,6.346693456891154e+20 ,169.74976405526962 ,17.886032302534897 ,128.52100653169478 ,22.784778387154244 ,0.5577087621001102 ,6.910996131129318e-09 ,0.00023806487460420223 ,0.03919892610178825 ,NaN ,5614093.0853181565 ,0.015833543426942456
Venus,5 ,Hot ,neongooey ,9.77e+04 ,2.297615376463E+03 ,2.297666218841E+03 ,3.130129978287E+00 ,1.898885115886E+03 ,1.895743656680E+03 ,1.691357710541E-01 ,NaN ,NaN ,6.822016601467E-02 ,4.878311822759E+16 ,1.236836011046E+19 ,2.604596521907E+20 ,1.137489262484E+19 ,3.908518572790E+20 ,1.256870216317E+20 ,5.982074817542E+12 ,3.209915583216E+02 ,1.273905572804E+02 ,1.836681081120E+02 ,NaN ,9.932891777886E+00 ,NaN ,1.151263958158E-06 ,3.239388099435E-02 ,NaN ,5.365804343098E+06 ,2.518809684129E-06
Venus,5 ,Cold ,pacman ,1.01e+05 ,1730.226526781544 ,1843.540902225147 ,908.3693069561272 ,1304.459642404394 ,396.1002973085807 ,0.02515403565984349 ,9.750453825512826e-06 ,9.045851795968318e-07 ,0.5239282890985207 ,1.6940081078742225e+19 ,5.201955608639569e+18 ,2.5085796331261765e+20 ,2.555421110481273e+20 ,1.9065173793311847e+20 ,2.3680559556199576e+19 ,8.217428320345449e+20 ,211.12765022576576 ,74.28560738950254 ,122.07048497896308 ,12.715676194941278 ,2.0558801206682786 ,6.371053910979136e-07 ,9.045851795968319e-07 ,0.033787136972707695 ,NaN ,5930767.248271443 ,10503.61216825975               
Earth ,3 ,Hot ,planatmo ,1.00e+03 ,3.299140e+03 ,3.375616e+03 ,1.038411e+05 ,1.040481e+05 ,2.070000e+02 ,1.000000e+00 ,NaN ,NaN ,2.965102e-03 ,0.000000e+00 ,6.180599e+19 ,2.111798e+20 ,0.000000e+00 ,4.668103e+20 ,2.740360e+18 ,5.843463e+20 ,1.530076e+02 ,1.098853e+01 ,1.420191e+02 ,NaN ,NaN ,NaN ,NaN ,4.213276e-02 ,NaN ,3.507955e+06 ,1.663999e-03
Earth,3 ,Cold ,pacman ,9.81e+02 ,2825.6840553655948 ,2903.0126652252325 ,88895.54024856082 ,89102.07574102249 ,207.05311231181707 ,0.6135564986472838 ,0.1252413416525337 ,0.08297611976232722 ,0.0036535034322572376 ,3.0944650705959854e+18 ,4.103702521425733e+19 ,2.2886850971514605e+20 ,3.4878729515526337e+19 ,4.342310635067239e+20 ,8.900371585219849e+17 ,4.920439595241394e+20 ,138.91289976473422 ,2.953350442845895 ,79.96479519950502 ,55.699649788585894 ,0.21212821384490035 ,1.902102214045173e-10 ,0.08297611976232722 ,0.037189485639480255 ,NaN ,4491985.9105777275 ,0.0026915130296494777
Earth ,4 ,Hot ,proteus ,9.89e+03 ,3.0703194930e+03 ,3.7293952684e+03 ,1.2783680000e+05 ,1.1856011202e+05 ,3.1049248275e+02 ,1.0000000000e+00 ,6.9854652472e+01 ,6.9854652472e+01 ,1.0000000000e-02 ,0.0000000000e+00 ,5.7871574281e+19 ,2.1507450753e+20 ,0.0000000000e+00 ,4.6892316399e+20 ,1.0765592063e+18 ,6.6626689823e+20 ,2.0637920717e+02 ,3.8253832750e+00 ,1.0206363250e+02 ,3.0507381627e+01 ,1.2815729553e-01 ,2.8975564842e-12 ,6.9854652472e+01 ,3.7071491143e-02 ,6.6818169093e+06 ,3.4719930453e+06 ,1.0000000000e+02
Earth ,4 ,Cold ,pacman ,9.99e+03 ,2050.998200826006 ,2065.730819918151 ,5174.656515566911 ,5381.686481426928 ,207.05311231181707 ,0.06027500039335265 ,0.00018803925142245974 ,0.00012417221981228085 ,0.011957701926855618 ,1.594158409836924e+19 ,1.4308056931055688e+19 ,2.4275035897057526e+20 ,1.9785183061712234e+20 ,2.6634112179045568e+20 ,5.804897373113936e+18 ,6.401246282379176e+20 ,171.0295877392413 ,20.73857687342669 ,125.4990259501493 ,24.07047504756101 ,0.7213856793299693 ,1.655450923644549e-08 ,0.00012417221981228082 ,0.03865796907630972 ,NaN ,6057039.451346847 ,0.017978392407277083
Earth ,5 ,Hot ,neongooey ,1.03e+05 ,2.194125701037E+03 ,2.194254421658E+03 ,1.018166347792E+01 ,1.002053087504E+03 ,9.918599818371E+02 ,9.425727572842E-02 ,NaN ,NaN ,5.309806294544E-02 ,6.232028585988E+16 ,8.561176872249E+18 ,2.643095091027E+20 ,1.551288139776E+19 ,3.551727867624E+20 ,1.609589735392E+20 ,3.183965473343E+13 ,3.837953427884E+02 ,1.875559666166E+02 ,1.862699923618E+02 ,NaN ,9.969377686152E+00 ,NaN ,6.123901974749E-06 ,3.021564624927E-02 ,NaN ,5.915875668654E+06 ,3.423751025464E-06
Earth ,5 ,Cold ,pacman ,9.94e+04 ,1690.4390087077009 ,1840.5727058406092 ,987.6416860652846 ,1194.6940768245486 ,207.05311231181707 ,0.02127851292282717 ,7.5467804167958124e-06 ,2.9031955729584066e-07 ,0.6384517146803926 ,1.8735143870832034e+19 ,4.964981085853331e+18 ,2.4929987504331476e+20 ,2.6971298163519452e+20 ,1.7812071125350475e+20 ,2.2121327207518085e+19 ,8.016830821537821e+20 ,206.53793429033712 ,69.49268683697328 ,120.79081754162976 ,13.989625519099981 ,2.2648026599625175 ,1.4423520368887773e-06 ,2.9031955729584087e-07 ,0.03404057436750704 ,NaN ,6265212.633648088 ,27886.247475623186
