T(K),p_tot(bar),z(m)
4.4480991569e+02,1.0434712847e-05,3.4862782277e+05
5.1803537250e+02,1.8932481153e-05,3.4179928928e+05
5.2765002729e+02,2.8974273500e-05,3.3682445513e+05
5.3655149445e+02,4.4342234810e-05,3.3176871676e+05
5.4123973871e+02,6.7861366325e-05,3.2665407119e+05
5.4574203008e+02,1.0385505059e-04,3.2150366718e+05
5.4646202843e+02,1.5893979325e-04,3.1633465375e+05
5.4558918449e+02,2.4324149604e-04,3.1117361311e+05
5.4306306530e+02,3.7225684134e-04,3.0603580075e+05
5.4297074155e+02,5.6970195538e-04,3.0091949218e+05
5.4405057409e+02,8.7187200319e-04,2.9580702951e+05
5.4559731248e+02,1.3343131137e-03,2.9069037076e+05
5.4952450156e+02,2.0420330952e-03,2.8555716271e+05
5.5516355499e+02,3.1251279174e-03,2.8038802503e+05
5.6017380750e+02,4.7826964816e-03,2.7517692786e+05
5.6455741384e+02,7.3194397925e-03,2.6992994489e+05
5.7520278028e+02,1.1201672337e-02,2.6462443013e+05
5.9831031634e+02,1.7143041915e-02,2.5917670958e+05
6.3089684175e+02,2.6235715279e-02,2.5348423432e+05
6.6357521280e+02,4.0151144680e-02,2.4749936270e+05
6.9364110907e+02,6.1447321029e-02,2.4123404706e+05
7.2179245473e+02,9.4038994198e-02,2.3471115142e+05
7.4921028698e+02,1.4391729829e-01,2.2794501658e+05
7.7734511527e+02,2.2025106632e-01,2.2093797192e+05
8.1029557949e+02,3.3707228241e-01,2.1366823942e+05
8.5272651298e+02,5.1585549833e-01,2.0607450141e+05
9.1013100080e+02,7.8946537297e-01,1.9805016789e+05
9.9497654262e+02,1.2081979879e+00,1.8941150334e+05
1.1161808672e+03,1.8490264778e+00,1.7987831068e+05
1.2607414992e+03,2.8297505457e+00,1.6918229239e+05
1.3935426042e+03,4.3306508843e+00,1.5726604793e+05
1.4931808216e+03,6.6276291067e+00,1.4433458797e+05
1.5742368045e+03,1.0142925105e+01,1.3063841159e+05
1.6501484256e+03,1.5522734908e+01,1.1629941247e+05
1.7249577340e+03,2.3755997063e+01,1.0135605949e+05
1.8006312481e+03,3.6356183355e+01,8.5819111859e+04
1.8783297085e+03,5.5639511346e+01,6.9685453053e+04
1.9585216915e+03,8.5150720927e+01,5.2945006432e+04
2.0415785983e+03,1.3031468284e+02,3.5584607852e+04
2.1297668403e+03,1.9943362051e+02,1.7581232232e+04
2.1995292634e+03,2.6829690774e+02,3.8905921294e+03
2.2410373073e+03,2.9201404402e+02,0.0000000000e+00
