t(yr),T_surf(K),T_pot(K),phi(vol_frac),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),mmw(kg/mol),p_surf(bar),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),fO2_liquid(bar),fO2_solid(bar),R_trans(m),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),thick_surf_bl(m)
3.6200000000e+02,3.1806042329e+03,3.2166977219e+03,1.0000013620e+00,0.0000000000e+00,1.2606337425e+20,4.1871637942e+20,0.0000000000e+00,2.2178229917e+20,2.1758561936e+17,1.0327672078e+21,4.0799727747e-02,2.9313516296e+02,8.5549245283e-01,2.3284508179e+02,8.2148732452e+00,2.3893983745e-02,4.1493175225e-13,5.1195821489e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.2148732452e+00,0.0000000000e+00,6.7010752352e+06,3.8896200000e+05,3.4395224418e+05,1.4980850736e+04,1.0000000000e-02
5.2400000000e+02,3.1165941153e+03,3.1523700492e+03,1.0000013620e+00,0.0000000000e+00,1.2689398510e+20,4.1778770139e+20,0.0000000000e+00,2.2178334149e+20,2.1649233677e+17,1.0295816914e+21,4.0976810685e-02,2.9138005744e+02,8.5550049405e-01,2.3525303911e+02,5.8602801207e+00,2.3264990251e-02,4.3737611065e-13,4.9387972723e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.8602801207e+00,0.0000000000e+00,6.6902938283e+06,3.3396510000e+05,2.9175510266e+05,1.4980819060e+04,1.0000000000e-02
7.2000000000e+02,3.0512588698e+03,3.0867675928e+03,1.0000013620e+00,0.0000000000e+00,1.2769327397e+20,4.1687041982e+20,0.0000000000e+00,2.2178429660e+20,2.1547608759e+17,1.0276655872e+21,4.1140391131e-02,2.9011550702e+02,8.5550786247e-01,2.3763522798e+02,4.0875128940e+00,2.2624144263e-02,4.6302476911e-13,4.7514634143e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0875128940e+00,0.0000000000e+00,6.6798380302e+06,2.8176800000e+05,2.4631279701e+05,1.4980780736e+04,1.0000000000e-02
9.7400000000e+02,2.9804117177e+03,3.0156491565e+03,1.0000013620e+00,0.0000000000e+00,1.2851217271e+20,4.1589942797e+20,0.0000000000e+00,2.2178522957e+20,2.1446449561e+17,1.0267259982e+21,4.1302138396e-02,2.8919541035e+02,8.5551506019e-01,2.4014504731e+02,2.7138035456e+00,2.1930644236e-02,4.9454695688e-13,4.5459113792e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7138035456e+00,0.0000000000e+00,6.6697396997e+06,2.3632570000e+05,2.0581945402e+05,1.4980731072e+04,1.0000000000e-02
1.2440000000e+03,2.9184392235e+03,2.9534174650e+03,1.0000013620e+00,0.0000000000e+00,1.2919194388e+20,4.1505881372e+20,0.0000000000e+00,2.2178597092e+20,2.1364020956e+17,1.0266063027e+21,4.1433159577e-02,2.8867207147e+02,8.5552077953e-01,2.4228501396e+02,1.8641464365e+00,2.1325284957e-02,5.2587516310e-13,4.3646065007e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8641464365e+00,0.0000000000e+00,6.6602890192e+06,1.9583240000e+05,1.7356312320e+05,1.4980678278e+04,1.0000000000e-02
1.5880000000e+03,2.8531339427e+03,2.8877811855e+03,1.0000013620e+00,0.0000000000e+00,1.2987459366e+20,4.1417221733e+20,0.0000000000e+00,2.2178668691e+20,2.1281924120e+17,1.0269746763e+21,4.1563058409e-02,2.8832273345e+02,8.5552630330e-01,2.4448938548e+02,1.2316897977e+00,2.0688723832e-02,5.6340646361e-13,4.1725443150e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2316897977e+00,0.0000000000e+00,6.6510376928e+06,1.6357610000e+05,1.4536838692e+05,1.4980611016e+04,1.0000000000e-02
2.0040000000e+03,2.7879882275e+03,2.8222171667e+03,1.0000013620e+00,0.0000000000e+00,1.3052303463e+20,4.1327828995e+20,0.0000000000e+00,2.2178734161e+20,2.1203840254e+17,1.0276789285e+21,4.1686193462e-02,2.8811693431e+02,8.5553135421e-01,2.4663944967e+02,7.9815787496e-01,2.0055177367e-02,6.0635294202e-13,3.9803740237e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.9815787496e-01,0.0000000000e+00,6.6419551661e+06,1.3538140000e+05,1.2133030558e+05,1.4980529676e+04,1.0000000000e-02
2.5170000000e+03,2.7222842061e+03,2.7559772208e+03,1.0000014015e+00,0.0000000000e+00,1.3114396541e+20,4.1235600598e+20,0.0000000000e+00,2.2178794436e+20,2.1128103730e+17,1.0285849988e+21,4.1805389553e-02,2.8800012175e+02,8.5553600437e-01,2.4875743908e+02,5.0399495465e-01,1.9417760466e-02,6.5636516889e-13,3.7863733949e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0399495465e-01,0.0000000000e+00,6.6330245694e+06,1.1134330000e+05,1.0071859951e+05,1.4980429369e+04,1.0000000000e-02
3.0190000000e+03,2.6578932509e+03,2.6909323497e+03,9.9985092213e-01,0.0000000000e+00,1.3171644920e+20,4.1148994342e+20,0.0000000000e+00,2.2178843729e+20,2.1063768203e+17,1.0297221722e+21,4.1918433353e-02,2.8798105450e+02,8.5584680054e-01,2.5082226248e+02,3.1380785660e-01,1.8801424514e-02,7.1389902909e-13,3.5970335944e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1380785660e-01,0.0000000000e+00,6.6243377015e+06,9.0731710000e+04,8.3661053285e+04,1.4980331213e+04,1.0000000000e-02
3.5490000000e+03,2.5948521803e+03,2.6271179348e+03,9.9852657216e-01,0.0000000000e+00,1.3211544579e+20,4.1078232692e+20,0.0000000000e+00,2.2178831110e+20,2.1060589730e+17,1.0312783972e+21,4.2026088859e-02,2.8810412399e+02,8.5851277038e-01,2.5289871422e+02,1.9266659229e-01,1.8249417132e-02,7.8418629284e-13,3.4135980983e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9266659229e-01,0.0000000000e+00,6.6159870806e+06,7.3674230000e+04,6.9517273231e+04,1.4980227582e+04,1.0000000000e-02
