# T(K),p(bar),z(m)
1.9550724653e+02,1.0404459137e-05,3.6912825717e+05
1.4229547585e+02,1.8125610063e-05,3.6333765984e+05
1.2390050007e+02,2.6945591486e-05,3.6051116475e+05
1.1318899734e+02,4.0057404854e-05,3.5800164253e+05
1.1043848839e+02,5.9549469695e-05,3.5564398763e+05
1.1182245353e+02,8.8526437344e-05,3.5330666990e+05
1.1461240644e+02,1.3160369268e-04,3.5092857626e+05
1.1801691520e+02,1.9564248202e-04,3.4848775118e+05
1.2257420477e+02,2.9084275671e-04,3.4596634297e+05
1.2730499400e+02,4.3236779791e-04,3.4334961253e+05
1.3266149054e+02,6.4275938925e-04,3.4062988016e+05
1.3980017004e+02,9.5552822034e-04,3.3778338656e+05
1.4816658727e+02,1.4204913925e-03,3.3477840145e+05
1.5888902046e+02,2.1117071722e-03,3.3157907067e+05
1.7205521158e+02,3.1392708218e-03,3.2813594157e+05
1.8632819831e+02,4.6668503202e-03,3.2441137424e+05
1.9961017523e+02,6.9377550225e-03,3.2040295673e+05
2.1226830487e+02,1.0313689416e-02,3.1612889958e+05
2.2393717051e+02,1.5332364579e-02,3.1160662013e+05
2.3598609520e+02,2.2793143570e-02,3.0684486767e+05
2.5023577861e+02,3.3884362135e-02,3.0181982122e+05
2.6461664906e+02,5.0372604104e-02,2.9650646728e+05
2.7508217912e+02,7.4884078798e-02,2.9094114949e+05
2.8033495919e+02,1.1132291763e-01,2.8521790532e+05
2.8597184846e+02,1.6549301519e-01,2.7939293955e+05
2.9527401778e+02,2.4602246023e-01,2.7342856495e+05
3.1695682883e+02,3.6573779788e-01,2.6716993528e+05
3.6052006315e+02,5.4370701224e-01,2.6027793898e+05
4.1220421004e+02,8.0827663117e-01,2.5243660140e+05
4.5527999542e+02,1.2015866961e+00,2.4364090310e+05
5.1234509156e+02,1.7862827312e+00,2.3386664026e+05
5.9348488093e+02,2.6554937784e+00,2.2274784929e+05
7.1961299389e+02,3.9476657776e+00,2.0962360372e+05
9.0479931037e+02,5.8686129181e+00,1.9348939831e+05
1.1241420562e+03,8.7242992499e+00,1.7343721520e+05
1.3189694176e+03,1.2969571935e+01,1.4938739791e+05
1.4568068568e+03,1.9280608261e+01,1.2219731923e+05
1.5539536419e+03,2.8662615602e+01,9.2912460520e+04
1.6285061594e+03,4.2609938546e+01,6.2218791484e+04
1.6900691797e+03,6.3344074671e+01,3.0508262518e+04
1.7276973532e+03,8.3509062335e+01,6.7104509625e+03
1.7404259185e+03,9.0367338576e+01,0.0000000000e+00
