T(K),p_tot(bar),z(m)
1.7935359101e+02,1.0416863729e-05,2.8116791945e+05
1.9808298394e+02,1.8452479991e-05,2.7857446679e+05
1.9768468665e+02,2.7760326631e-05,2.7676009672e+05
1.9777178559e+02,4.1763260822e-05,2.7494837676e+05
1.9676149583e+02,6.2829590505e-05,2.7314136764e+05
1.9666454430e+02,9.4522251503e-05,2.7134084052e+05
1.9644436768e+02,1.4220140474e-04,2.6954269037e+05
1.9629066912e+02,2.1393099708e-04,2.6774726168e+05
1.9657573061e+02,3.2184261186e-04,2.6595241604e+05
1.9735982056e+02,4.8418727638e-04,2.6415390012e+05
1.9894472170e+02,7.2842224730e-04,2.6234593008e+05
2.0211828746e+02,1.0958548401e-03,2.6051799152e+05
2.0683112150e+02,1.6486287111e-03,2.5865583992e+05
2.1342217723e+02,2.4802341764e-03,2.5674412499e+05
2.2274630865e+02,3.7313201745e-03,2.5476233868e+05
2.3550090914e+02,5.6134821370e-03,2.5268289185e+05
2.5284062295e+02,8.4450489983e-03,2.5047006450e+05
2.7389767804e+02,1.2704921979e-02,2.4808600903e+05
2.9868158684e+02,1.9113570867e-02,2.4549731276e+05
3.2823328868e+02,2.8754886640e-02,2.4266641554e+05
3.6260638763e+02,4.3259499307e-02,2.3955052199e+05
4.0917072136e+02,6.5080565391e-02,2.3607683723e+05
4.7482747779e+02,9.7908668836e-02,2.3210824772e+05
5.5692101545e+02,1.4729600727e-01,2.2748494098e+05
6.4764582944e+02,2.2159543191e-01,2.2209313761e+05
7.3935730985e+02,3.3337316030e-01,2.1588988732e+05
8.2877121316e+02,5.0153409323e-01,2.0888421761e+05
9.3921168069e+02,7.5451918939e-01,2.0100808662e+05
1.0982752728e+03,1.1351156678e+00,1.9196935156e+05
1.2937554057e+03,1.7076935847e+00,1.8139369390e+05
1.4642593769e+03,2.5690927031e+00,1.6921777402e+05
1.5949469669e+03,3.8650009440e+00,1.5573919461e+05
1.7062742455e+03,5.8145944984e+00,1.4124374801e+05
1.8074305383e+03,8.7476069658e+00,1.2587874183e+05
1.9021280545e+03,1.3160097002e+01,1.0973105488e+05
1.9922533429e+03,1.9798346427e+01,9.2861557791e+04
2.0789955441e+03,2.9785078420e+01,7.5316968555e+04
2.1639650014e+03,4.4809343031e+01,5.7131779488e+04
2.2493666706e+03,6.7412185207e+01,3.8324255354e+04
2.3391108913e+03,1.0141641022e+02,1.8887583300e+04
2.4119277806e+03,1.3481644417e+02,4.1788758511e+03
2.4544234151e+03,1.4623484149e+02,0.0000000000e+00
