Time	semimajorax	separation	perihelion	perigee	orbital_period	eccentricity	semimajorax_sat	M_sat	plan_sat_am	axial_period	breakup_period	R_int	M_int	M_tot	T_surf	T_magma	T_eqm	T_skin	F_int	F_atm	F_net	F_olr	F_sct	F_ins	F_xuv	F_tidal	F_radio	gravity	Phi_global	RF_depth	M_core	M_mantle	M_planet	M_mantle_solid	M_mantle_liquid	Phi_global_vol	T_pot	M_star	R_star	age_star	T_star	p_obs	R_obs	rho_obs	transit_depth	eclipse_depth	bond_albedo	Imk2	esc_rate_total	p_xuv	R_xuv	ocean_areacov	ocean_maxdepth	M_atm	P_surf	atm_kg_per_mol	H2O_mol_atm	H2O_mol_solid	H2O_mol_liquid	H2O_mol_total	H2O_kg_atm	H2O_kg_solid	H2O_kg_liquid	H2O_kg_total	H2O_vmr	H2O_bar	CO2_mol_atm	CO2_mol_solid	CO2_mol_liquid	CO2_mol_total	CO2_kg_atm	CO2_kg_solid	CO2_kg_liquid	CO2_kg_total	CO2_vmr	CO2_bar	O2_mol_atm	O2_mol_solid	O2_mol_liquid	O2_mol_total	O2_kg_atm	O2_kg_solid	O2_kg_liquid	O2_kg_total	O2_vmr	O2_bar	H2_mol_atm	H2_mol_solid	H2_mol_liquid	H2_mol_total	H2_kg_atm	H2_kg_solid	H2_kg_liquid	H2_kg_total	H2_vmr	H2_bar	CH4_mol_atm	CH4_mol_solid	CH4_mol_liquid	CH4_mol_total	CH4_kg_atm	CH4_kg_solid	CH4_kg_liquid	CH4_kg_total	CH4_vmr	CH4_bar	CO_mol_atm	CO_mol_solid	CO_mol_liquid	CO_mol_total	CO_kg_atm	CO_kg_solid	CO_kg_liquid	CO_kg_total	CO_vmr	CO_bar	N2_mol_atm	N2_mol_solid	N2_mol_liquid	N2_mol_total	N2_kg_atm	N2_kg_solid	N2_kg_liquid	N2_kg_total	N2_vmr	N2_bar	NH3_mol_atm	NH3_mol_solid	NH3_mol_liquid	NH3_mol_total	NH3_kg_atm	NH3_kg_solid	NH3_kg_liquid	NH3_kg_total	NH3_vmr	NH3_bar	S2_mol_atm	S2_mol_solid	S2_mol_liquid	S2_mol_total	S2_kg_atm	S2_kg_solid	S2_kg_liquid	S2_kg_total	S2_vmr	S2_bar	SO2_mol_atm	SO2_mol_solid	SO2_mol_liquid	SO2_mol_total	SO2_kg_atm	SO2_kg_solid	SO2_kg_liquid	SO2_kg_total	SO2_vmr	SO2_bar	H2S_mol_atm	H2S_mol_solid	H2S_mol_liquid	H2S_mol_total	H2S_kg_atm	H2S_kg_solid	H2S_kg_liquid	H2S_kg_total	H2S_vmr	H2S_bar	SiO_mol_atm	SiO_mol_solid	SiO_mol_liquid	SiO_mol_total	SiO_kg_atm	SiO_kg_solid	SiO_kg_liquid	SiO_kg_total	SiO_vmr	SiO_bar	SiO2_mol_atm	SiO2_mol_solid	SiO2_mol_liquid	SiO2_mol_total	SiO2_kg_atm	SiO2_kg_solid	SiO2_kg_liquid	SiO2_kg_total	SiO2_vmr	SiO2_bar	MgO_mol_atm	MgO_mol_solid	MgO_mol_liquid	MgO_mol_total	MgO_kg_atm	MgO_kg_solid	MgO_kg_liquid	MgO_kg_total	MgO_vmr	MgO_bar	FeO2_mol_atm	FeO2_mol_solid	FeO2_mol_liquid	FeO2_mol_total	FeO2_kg_atm	FeO2_kg_solid	FeO2_kg_liquid	FeO2_kg_total	FeO2_vmr	FeO2_bar	H_kg_atm	H_kg_solid	H_kg_liquid	H_kg_total	O_kg_atm	O_kg_solid	O_kg_liquid	O_kg_total	C_kg_atm	C_kg_solid	C_kg_liquid	C_kg_total	N_kg_atm	N_kg_solid	N_kg_liquid	N_kg_total	S_kg_atm	S_kg_solid	S_kg_liquid	S_kg_total	Si_kg_atm	Si_kg_solid	Si_kg_liquid	Si_kg_total	Mg_kg_atm	Mg_kg_solid	Mg_kg_liquid	Mg_kg_total	Fe_kg_atm	Fe_kg_solid	Fe_kg_liquid	Fe_kg_total	Na_kg_atm	Na_kg_solid	Na_kg_liquid	Na_kg_total	wtg_surf	roche_limit	hill_radius	runtime
0.0000000000e+00	1.4959787070e+11	1.4959787070e+11	1.4959787070e+11	0.0000000000e+00	3.1558147273e+07	0.0000000000e+00	3.0000000000e+08	0.0000000000e+00	0.0000000000e+00	3.1558147273e+07	4.9919096308e+03	6.3129682693e+06	5.9720399529e+24	5.9720399529e+24	3.3594273426e+03	3.3594273426e+03	2.7812026122e+02	2.3387033067e+02	1.0000000000e+03	2.8363243484e+05	-2.8263243484e+05	2.8385861726e+05	0.0000000000e+00	1.0052614029e+03	2.5734393407e-01	0.0000000000e+00	2.7177914704e-01	1.0001379663e+01	1.0000000000e+00	4.4999998080e-01	1.8828433452e+24	4.0891966077e+24	5.9728454143e+24	0.0000000000e+00	4.0891966077e+24	1.0000013620e+00	3.3971873023e+03	1.9884160000e+30	6.1235199832e+08	5.0000000000e+07	5.7073189678e+03	2.0000000000e-02	6.7206901437e+06	4.6973156606e+03	1.2045517605e-04	5.6990175750e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.2106402700e-05	6.7874005657e+06	0.0000000000e+00	0.0000000000e+00	8.0546133187e+20	1.6085239542e+02	3.9179038388e-02	4.8892616162e+20	0.0000000000e+00	2.3263133082e+23	2.3312025698e+23	8.8081417010e+18	0.0000000000e+00	4.1909185615e+21	4.1997267032e+21	2.3782217839e-02	3.8254267078e+00	1.4054798034e+22	0.0000000000e+00	4.6262395656e+21	1.8681037599e+22	6.1855166146e+20	0.0000000000e+00	2.0360080328e+20	8.2215246474e+20	6.8364979162e-01	1.0996670661e+02	2.5092733122e+21	0.0000000000e+00	0.0000000000e+00	2.5092733122e+21	8.0294236718e+19	0.0000000000e+00	0.0000000000e+00	8.0294236718e+19	1.2205541289e-01	1.9632905537e+01	1.4663653711e+19	0.0000000000e+00	0.0000000000e+00	1.4663653711e+19	2.9560166243e+16	0.0000000000e+00	0.0000000000e+00	2.9560166243e+16	7.1326558945e-04	1.1473047863e-01	4.5240176857e+08	0.0000000000e+00	1.2487197448e+07	4.6488896602e+08	7.2565243679e+06	0.0000000000e+00	2.0029464707e+05	7.4568190150e+06	2.2005607913e-14	3.5396547454e-12	3.4908151315e+21	0.0000000000e+00	4.7405518708e+20	3.9648703186e+21	9.7777731833e+19	0.0000000000e+00	1.3278285790e+19	1.1105601762e+20	1.6979931206e-01	2.7312626086e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0152370677e+18	0.0000000000e+00	4.6898476293e+20	4.7000000000e+20	5.5354317215e+20	0.0000000000e+00	3.8774834843e+21	4.4310266565e+21	2.1074035973e+20	0.0000000000e+00	6.1259640275e+19	2.7200000000e+20	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.7177038862e+02	5.5127942831e+08	1.4965462589e+09	9.8651398000e+01
0.0000000000e+00	1.4959787070e+11	1.4959787070e+11	1.4959787070e+11	3.0000000000e+08	3.1558147267e+07	0.0000000000e+00	3.0000000000e+08	0.0000000000e+00	0.0000000000e+00	3.1558147267e+07	4.9919096308e+03	6.3129682693e+06	5.9720399529e+24	5.9727819529e+24	3.3594273426e+03	3.3594273426e+03	2.7812026122e+02	2.3387033067e+02	2.8363240000e+05	2.8363243484e+05	-3.4836529288e-02	2.8385861726e+05	0.0000000000e+00	1.0052614029e+03	2.5734393407e-01	0.0000000000e+00	2.7177914704e-01	1.0001379663e+01	1.0000000000e+00	4.4999998080e-01	1.8828433452e+24	4.0891966077e+24	5.9728454143e+24	0.0000000000e+00	4.0891966077e+24	1.0000013620e+00	3.3971873023e+03	1.9884160000e+30	6.1235199832e+08	5.0000000000e+07	5.7073189678e+03	2.0000000000e-02	6.7206901437e+06	4.6973156606e+03	1.2045517605e-04	5.6990175750e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.2106402700e-05	6.7874005657e+06	0.0000000000e+00	0.0000000000e+00	8.0546133187e+20	1.6085239542e+02	3.9179038388e-02	4.8892616162e+20	0.0000000000e+00	2.3263133082e+23	2.3312025698e+23	8.8081417009e+18	0.0000000000e+00	4.1909185615e+21	4.1997267032e+21	2.3782217839e-02	3.8254267078e+00	1.4054798034e+22	0.0000000000e+00	4.6262395656e+21	1.8681037599e+22	6.1855166146e+20	0.0000000000e+00	2.0360080328e+20	8.2215246474e+20	6.8364979163e-01	1.0996670661e+02	2.5092733122e+21	0.0000000000e+00	0.0000000000e+00	2.5092733122e+21	8.0294236718e+19	0.0000000000e+00	0.0000000000e+00	8.0294236718e+19	1.2205541289e-01	1.9632905537e+01	1.4663653711e+19	0.0000000000e+00	0.0000000000e+00	1.4663653711e+19	2.9560166243e+16	0.0000000000e+00	0.0000000000e+00	2.9560166243e+16	7.1326558945e-04	1.1473047863e-01	4.5240176857e+08	0.0000000000e+00	1.2487197448e+07	4.6488896602e+08	7.2565243679e+06	0.0000000000e+00	2.0029464707e+05	7.4568190150e+06	2.2005607912e-14	3.5396547454e-12	3.4908151315e+21	0.0000000000e+00	4.7405518708e+20	3.9648703186e+21	9.7777731833e+19	0.0000000000e+00	1.3278285790e+19	1.1105601762e+20	1.6979931206e-01	2.7312626086e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0152370677e+18	0.0000000000e+00	4.6898476293e+20	4.7000000000e+20	5.5354317215e+20	0.0000000000e+00	3.8774834843e+21	4.4310266565e+21	2.1074035973e+20	0.0000000000e+00	6.1259640275e+19	2.7200000000e+20	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.7177038849e+02	5.5127942831e+08	1.4965462589e+09	1.0304512600e+02
0.0000000000e+00	1.4959787070e+11	1.4959787070e+11	1.4959787070e+11	3.0000000000e+08	3.1558147267e+07	0.0000000000e+00	3.0000000000e+08	0.0000000000e+00	0.0000000000e+00	3.1558147267e+07	4.9919096308e+03	6.3129682693e+06	5.9720399529e+24	5.9727819529e+24	3.3594273426e+03	3.3594273426e+03	2.7812026122e+02	2.3387033067e+02	2.8363240000e+05	2.8363243483e+05	-3.4831968602e-02	2.8385861726e+05	0.0000000000e+00	1.0052614029e+03	2.5734393407e-01	0.0000000000e+00	2.7177914704e-01	1.0001379663e+01	1.0000000000e+00	4.4999998080e-01	1.8828433452e+24	4.0891966077e+24	5.9728454143e+24	0.0000000000e+00	4.0891966077e+24	1.0000013620e+00	3.3971873023e+03	1.9884160000e+30	6.1235199832e+08	5.0000000000e+07	5.7073189678e+03	2.0000000000e-02	6.7206901437e+06	4.6973156606e+03	1.2045517605e-04	5.6990175749e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.2106402700e-05	6.7874005657e+06	0.0000000000e+00	0.0000000000e+00	8.0546133187e+20	1.6085239542e+02	3.9179038388e-02	4.8892616164e+20	0.0000000000e+00	2.3263133082e+23	2.3312025699e+23	8.8081417013e+18	0.0000000000e+00	4.1909185616e+21	4.1997267033e+21	2.3782217840e-02	3.8254267079e+00	1.4054798034e+22	0.0000000000e+00	4.6262395656e+21	1.8681037599e+22	6.1855166146e+20	0.0000000000e+00	2.0360080328e+20	8.2215246474e+20	6.8364979162e-01	1.0996670661e+02	2.5092733122e+21	0.0000000000e+00	0.0000000000e+00	2.5092733122e+21	8.0294236718e+19	0.0000000000e+00	0.0000000000e+00	8.0294236718e+19	1.2205541289e-01	1.9632905537e+01	1.4663653712e+19	0.0000000000e+00	0.0000000000e+00	1.4663653712e+19	2.9560166244e+16	0.0000000000e+00	0.0000000000e+00	2.9560166244e+16	7.1326558947e-04	1.1473047864e-01	4.5240176861e+08	0.0000000000e+00	1.2487197449e+07	4.6488896605e+08	7.2565243684e+06	0.0000000000e+00	2.0029464708e+05	7.4568190155e+06	2.2005607914e-14	3.5396547457e-12	3.4908151315e+21	0.0000000000e+00	4.7405518708e+20	3.9648703186e+21	9.7777731833e+19	0.0000000000e+00	1.3278285790e+19	1.1105601762e+20	1.6979931206e-01	2.7312626086e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0152370678e+18	0.0000000000e+00	4.6898476294e+20	4.7000000000e+20	5.5354317215e+20	0.0000000000e+00	3.8774834844e+21	4.4310266566e+21	2.1074035973e+20	0.0000000000e+00	6.1259640275e+19	2.7200000000e+20	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.7177038849e+02	5.5127942831e+08	1.4965462589e+09	1.0734688300e+02
0.0000000000e+00	1.4959787070e+11	1.4959787070e+11	1.4959787070e+11	3.0000000000e+08	3.1558147267e+07	0.0000000000e+00	3.0000000000e+08	0.0000000000e+00	0.0000000000e+00	3.1558147267e+07	4.9919096308e+03	6.3129682693e+06	5.9720399529e+24	5.9727819529e+24	3.3594273426e+03	3.3594273426e+03	2.7812026122e+02	2.3387033067e+02	2.8363240000e+05	2.8363243483e+05	-3.4833815007e-02	2.8385861726e+05	0.0000000000e+00	1.0052614029e+03	2.5734393407e-01	0.0000000000e+00	2.7177914704e-01	1.0001379663e+01	1.0000000000e+00	4.4999998080e-01	1.8828433452e+24	4.0891966077e+24	5.9728454143e+24	0.0000000000e+00	4.0891966077e+24	1.0000013620e+00	3.3971873023e+03	1.9884160000e+30	6.1235199832e+08	5.0000000000e+07	5.7073189678e+03	2.0000000000e-02	6.7206901437e+06	4.6973156606e+03	1.2045517605e-04	5.6990175749e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.2106402700e-05	6.7874005657e+06	0.0000000000e+00	0.0000000000e+00	8.0546133186e+20	1.6085239542e+02	3.9179038388e-02	4.8892616163e+20	0.0000000000e+00	2.3263133082e+23	2.3312025698e+23	8.8081417011e+18	0.0000000000e+00	4.1909185615e+21	4.1997267032e+21	2.3782217839e-02	3.8254267078e+00	1.4054798033e+22	0.0000000000e+00	4.6262395655e+21	1.8681037599e+22	6.1855166145e+20	0.0000000000e+00	2.0360080328e+20	8.2215246472e+20	6.8364979162e-01	1.0996670661e+02	2.5092733122e+21	0.0000000000e+00	0.0000000000e+00	2.5092733122e+21	8.0294236718e+19	0.0000000000e+00	0.0000000000e+00	8.0294236718e+19	1.2205541289e-01	1.9632905537e+01	1.4663653711e+19	0.0000000000e+00	0.0000000000e+00	1.4663653711e+19	2.9560166243e+16	0.0000000000e+00	0.0000000000e+00	2.9560166243e+16	7.1326558947e-04	1.1473047864e-01	4.5240176858e+08	0.0000000000e+00	1.2487197448e+07	4.6488896603e+08	7.2565243680e+06	0.0000000000e+00	2.0029464707e+05	7.4568190151e+06	2.2005607913e-14	3.5396547455e-12	3.4908151314e+21	0.0000000000e+00	4.7405518708e+20	3.9648703185e+21	9.7777731831e+19	0.0000000000e+00	1.3278285790e+19	1.1105601762e+20	1.6979931206e-01	2.7312626085e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0152370677e+18	0.0000000000e+00	4.6898476294e+20	4.7000000000e+20	5.5354317214e+20	0.0000000000e+00	3.8774834844e+21	4.4310266565e+21	2.1074035972e+20	0.0000000000e+00	6.1259640273e+19	2.7200000000e+20	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.7177038849e+02	5.5127942831e+08	1.4965462589e+09	1.1165001000e+02
