t(yr),T_surf(K),p_H2O(bar),phi(vol_frac)
0,3599,12.070764562550622,0.927748727236315
1.192092895507812e-07,3.598999999770180e+03,12.070764562552171,0.927748727236269
3.576278686523438e-07,3.598999999310541e+03,12.070764562555263,0.927748727236175
4.768371582031250e-07,3.598999999080721e+03,12.070764562556807,0.927748727236129
5.960464477539062e-07,3.598999998850902e+03,12.070764562558354,0.927748727236082
1.192092895507812e-06,3.598999997701803e+03,12.070764562566085,0.927748727235850
4.172325134277344e-06,3.598999991956312e+03,12.070764562604721,0.927748727234688
1.907348632812500e-05,3.598999963228860e+03,12.070764562797914,0.927748727228879
9.357929229736328e-05,3.598999819591638e+03,12.070764563764003,0.927748727199830
4.661083221435547e-04,3.598999101406614e+03,12.070764568597262,0.927748727054500
0.001444265246391,3.598997215660961e+03,12.070764581310465,0.927748726672242
0.002422422170639,3.598995329929232e+03,12.070764594056113,0.927748726289024
0.004508636891842,3.598991308081100e+03,12.070764621348575,0.927748725468488
0.006594851613045,3.598987286287623e+03,12.070764648788964,0.927748724643577
0.008681066334248,3.598983264550846e+03,12.070764676377459,0.927748723814287
0.011567287147045,3.598977700681471e+03,12.070764714789975,0.927748722659753
0.014453507959843,3.598972136921144e+03,12.070764753486847,0.927748721496809
0.017339728772640,3.598966573269474e+03,12.070764792468594,0.927748720325442
0.020902946591377,3.598959704753130e+03,12.070764840987653,0.927748718867674
0.024466164410114,3.598952836397314e+03,12.070764889942659,0.927748717397014
0.028029382228851,3.598945968207363e+03,12.070764939334516,0.927748715913435
0.032313086092472,3.598937711480306e+03,12.070764999293123,0.927748714112733
0.036596789956093,3.598929454995495e+03,12.070765059886067,0.927748712293272
0.040880493819714,3.598921198750847e+03,12.070765121114990,0.927748710455004
0.045164197683334,3.598912942746518e+03,12.070765182981496,0.927748708597881
0.049447901546955,3.598904686982660e+03,12.070765245487191,0.927748706721855
0.054644286632538,3.598894672576551e+03,12.070765322170615,0.927748704420683
0.059840671718121,3.598884658526106e+03,12.070765399799768,0.927748702091544
0.065037056803703,3.598874644830280e+03,12.070765478377451,0.927748699734355
0.070233441889286,3.598864631489340e+03,12.070765557906469,0.927748697349032
0.075429826974869,3.598854618503551e+03,12.070765638389584,0.927748694935495
0.080626212060452,3.598844605873176e+03,12.070765719829550,0.927748692493660
0.086894430220127,3.598832528457931e+03,12.070765819345031,0.927748689510388
0.093162648379803,3.598820451562309e+03,12.070765920261547,0.927748686485685
0.099430866539478,3.598808375185130e+03,12.070766022583863,0.927748683419408
0.105699084699154,3.598796299326846e+03,12.070766126316679,0.927748680311419
0.111967302858829,3.598784223987901e+03,12.070766231464669,0.927748677161580
0.118235521018505,3.598772149168739e+03,12.070766338032481,0.927748673969754
0.124503739178181,3.598760074869800e+03,12.070766446024715,0.927748670735804
0.130771957337856,3.598748001091521e+03,12.070766555445946,0.927748667459595
0.138421110808849,3.598733268074133e+03,12.070766690916265,0.927748663404161
0.146070264279842,3.598718535835027e+03,12.070766828529537,0.927748659285354
0.153719417750835,3.598703804373463e+03,12.070766968293920,0.927748655102933
0.161368571221828,3.598689073690212e+03,12.070767110217488,0.927748650856661
0.169017724692822,3.598674343786035e+03,12.070767254308246,0.927748646546299
0.176666878163815,3.598659614661688e+03,12.070767400574132,0.927748642171614
0.184316031634808,3.598644886317923e+03,12.070767549023042,0.927748637732371
0.191965185105801,3.598630158755483e+03,12.070767699662792,0.927748633228340
0.199614338576794,3.598615431975107e+03,12.070767852501156,0.927748628659290
0.208861835300922,3.598597628981845e+03,12.070768040223196,0.927748623048356
0.218109332025051,3.598579827130116e+03,12.070768231183463,0.927748617341658
0.227356828749180,3.598562026425057e+03,12.070768425395318,0.927748611538804
0.236604325473309,3.598544226867931e+03,12.070768622872038,0.927748605639400
0.245851822197437,3.598526428459985e+03,12.070768823626759,0.927748599643057
0.255099318921566,3.598508631202457e+03,12.070769027672540,0.927748593549391
0.264346815645695,3.598490835096574e+03,12.070769235022315,0.927748587358017
0.273594312369823,3.598473040143550e+03,12.070769445688892,0.927748581068557
0.282841809093952,3.598455246344593e+03,12.070769659685007,0.927748574680635
0.292089305818081,3.598437453700895e+03,12.070769877023269,0.927748568193878
0.303243026137352,3.598415994929183e+03,12.070770143627222,0.927748560237942
0.314396746456623,3.598394537839625e+03,12.070770415133177,0.927748552137043
0.325550466775894,3.598373082436515e+03,12.070770691562675,0.927748543890543
0.336704187095165,3.598351628721872e+03,12.070770972937064,0.927748535497810
0.347857907414436,3.598330176697694e+03,12.070771259277507,0.927748526958220
0.359011627733707,3.598308726365963e+03,12.070771550604968,0.927748518271152
0.370165348052979,3.598287277728639e+03,12.070771846940215,0.927748509435992
0.381319068372250,3.598265830787665e+03,12.070772148303845,0.927748500452131
0.392472788691521,3.598244385544967e+03,12.070772454716263,0.927748491318965
0.403626509010792,3.598222942002450e+03,12.070772766197702,0.927748482035897
0.414780229330063,3.598201500162005e+03,12.070773082768204,0.927748472602332
0.428265206515789,3.598175578999354e+03,12.070773472330737,0.927748460995209
0.441750183701515,3.598149660335237e+03,12.070773869395806,0.927748449166219
0.455235160887241,3.598123744168307e+03,12.070774273997930,0.927748437114340
0.468720138072968,3.598097830501772e+03,12.070774686171236,0.927748424838564
0.482205115258694,3.598071919338807e+03,12.070775105949512,0.927748412337891
0.495690092444420,3.598046010682554e+03,12.070775533366213,0.927748399611332
0.509175069630146,3.598020104536123e+03,12.070775968454479,0.927748386657908
0.522660046815872,3.597994200902592e+03,12.070776411247136,0.927748373476646
0.536145024001598,3.597968299785011e+03,12.070776861776691,0.927748360066587
0.549630001187325,3.597942401186398e+03,12.070777320075393,0.927748346426777
0.563114978373051,3.597916505109743e+03,12.070777786175153,0.927748332556272
0.576599955558777,3.597890611558005e+03,12.070778260107598,0.927748318454135
0.592998310923576,3.597859127208462e+03,12.070778847031999,0.927748300991801
0.609396666288376,3.597827646602864e+03,12.070779445641309,0.927748283183918
0.625795021653175,3.597796169745749e+03,12.070780055990797,0.927748265028851
0.642193377017975,3.597764696642219e+03,12.070780678135145,0.927748246524983
0.658591732382774,3.597733227297324e+03,12.070781312128466,0.927748227670715
0.674990087747574,3.597701761716054e+03,12.070781958024330,0.927748208464461
0.691388443112373,3.597670299903349e+03,12.070782615875778,0.927748188904655
0.707786798477173,3.597638841864096e+03,12.070783285735306,0.927748168989743
0.724185153841972,3.597607387603131e+03,12.070783967654906,0.927748148718187
0.740583509206772,3.597575937125240e+03,12.070784661686091,0.927748128088466
0.756981864571571,3.597544490435158e+03,12.070785367879836,0.927748107099071
0.773380219936371,3.597513047537576e+03,12.070786086286690,0.927748085748507
0.793206147849560,3.597475037543097e+03,12.070786971237142,0.927748059450791
