z(m), p(bar), T(K), p_O2, p_H2, p_CO2, p_CO, p_CH4, p_H2O,
3.647904846598947770e+05,1.000003900835920213e-06,6.148287019823465016e+02,4.057646481585647747e-32,4.610321513816369892e-04,9.433601343286683594e-02,4.819234235017552659e-03,8.612840683468239376e-14,3.841102642398692502e-04
3.647904318073329050e+05,1.000007801687117980e-06,6.148287019857177711e+02,4.057646484040044997e-32,4.610339497841098831e-04,9.433638142217405653e-02,4.819253034068174402e-03,8.612941473041770913e-14,3.841117625993390600e-04
3.647903261022076476e+05,1.000015603420069382e-06,6.148287019924604238e+02,4.057646488948532417e-32,4.610375466031504076e-04,9.433711740367095588e-02,4.819290632316695910e-03,8.613143055337960409e-14,3.841147593300080123e-04
3.647902203970824485e+05,1.000023405214132094e-06,6.148287019992031901e+02,4.057646493857084974e-32,4.610411434503631123e-04,9.433785339093281319e-02,4.819328230859725760e-03,8.613344642358286982e-14,3.841177560841521101e-04
3.647901146919572493e+05,1.000031207069306538e-06,6.148287020059459564e+02,4.057646498765840611e-32,4.610447403257502200e-04,9.433858938395973948e-02,4.819365829697267421e-03,8.613546234102720338e-14,3.841207528617702691e-04
3.647890576407106710e+05,1.000109228982304723e-06,6.148287020733768031e+02,4.057646547854399233e-32,4.610807106292464166e-04,9.434594963131474887e-02,4.819741834271282915e-03,8.615562411411974993e-14,3.841507219290514648e-04
3.647880005894640926e+05,1.000187257007016411e-06,6.148287021408128794e+02,4.057646596946675675e-32,4.611166837503934569e-04,9.435331045522213356e-02,4.820117868298987029e-03,8.617579061278085845e-14,3.841806933439298748e-04
3.647869435382175143e+05,1.000265291143919964e-06,6.148287022082542990e+02,4.057646646042995081e-32,4.611526596894036274e-04,9.436067185572707960e-02,4.820493931782729446e-03,8.619596183811036513e-14,3.842106671065977823e-04
3.647858864869709359e+05,1.000343331393496285e-06,6.148287022757009481e+02,4.057646695143229913e-32,4.611886384464982140e-04,9.436803383287487024e-02,4.820870024724784389e-03,8.621613779121742101e-14,3.842406432172400981e-04
3.647753159744982258e+05,1.001124070192048522e-06,6.148287029504570000e+02,4.057647186355125995e-32,4.615485810611295978e-04,9.444168532969168806e-02,4.824632574863010198e-03,8.641815759457977112e-14,3.845405335026194703e-04
3.647647454620255157e+05,1.001905420786925225e-06,6.148287036257396494e+02,4.057647677950843200e-32,4.619088057285191925e-04,9.451539454070569113e-02,4.828398073383417637e-03,8.662065139831459282e-14,3.848406587882461857e-04
3.647541749495527474e+05,1.002687383659450536e-06,6.148287043015493509e+02,4.057648169930007119e-32,4.622693126705792761e-04,9.458916151132297501e-02,4.832166522605682406e-03,8.682362031606829918e-14,3.851410192589940079e-04
3.647436044370800373e+05,1.003469959291332729e-06,6.148287049778864457e+02,4.057648662293164586e-32,4.626301021093805828e-04,9.466298628698578688e-02,4.835937924851181104e-03,8.702706546407953811e-14,3.854416150999030169e-04
3.646378993123583496e+05,1.011329523629593668e-06,6.148287117703587228e+02,4.057653607113767318e-32,4.662535828031631746e-04,9.540442334473148156e-02,4.873814875652706345e-03,8.908795707037400122e-14,3.884605596829353909e-04
3.645321941876367200e+05,1.019250896604087056e-06,6.148287186160326883e+02,4.057658590670311327e-32,4.699055587540855970e-04,9.615169115967021896e-02,4.911989695988113781e-03,9.119771926406290118e-14,3.915032459051056538e-04
3.644264890629150323e+05,1.027234566264445076e-06,6.148287255153269371e+02,4.057663613267991755e-32,4.735862549604748944e-04,9.690483577227169965e-02,4.950464737881042632e-03,9.335751250772641515e-14,3.945698612379207109e-04
3.643207839381933445e+05,1.035281024501102626e-06,6.148287324686630200e+02,4.057668675213641512e-32,4.772958981912835325e-04,9.766390358533010019e-02,4.989242371865041867e-03,9.556852484942138218e-14,3.976605946282747717e-04
3.642150788134716568e+05,1.043390767111423906e-06,6.148287394764660121e+02,4.057673776816816187e-32,4.810347170165606297e-04,9.842894137020222201e-02,5.028324987301911915e-03,9.783197258896646398e-14,4.007756365238636983e-04
3.639717213295754627e+05,1.062304548560633489e-06,6.148287558194218718e+02,4.057685674332836050e-32,4.897544997158307951e-04,1.002131851063990109e-01,5.119474619439643402e-03,1.032491098547802726e-13,4.080406304056126161e-04
3.637283638456792687e+05,1.081562588071048458e-06,6.148287724586391505e+02,4.057697787559920715e-32,4.986329934521295266e-04,1.020299046466221216e-01,5.212283307717301140e-03,1.089666253265048179e-13,4.154378592043080705e-04
3.635294051325484761e+05,1.097567303866989425e-06,6.148287862860302084e+02,4.057707853825757042e-32,5.060116129485420786e-04,1.035397198011368258e-01,5.289413521393220886e-03,1.138758065721342591e-13,4.215854511064798444e-04
3.633304464194176835e+05,1.113809820155364558e-06,6.148288003180406349e+02,4.057718069078301860e-32,5.134998639758767873e-04,1.050719680168793330e-01,5.367689748586243481e-03,1.190064645412520026e-13,4.278243859759738813e-04
3.631314877062868909e+05,1.130293684544976301e-06,6.148288145577108708e+02,4.057728435532585462e-32,5.210993820306203742e-04,1.066269839597570740e-01,5.447129086046316113e-03,1.243686049445114448e-13,4.341560265392622108e-04
3.629325289931560983e+05,1.147022497773452640e-06,6.148288290081264904e+02,4.057738955435939712e-32,5.288118271014040925e-04,1.082051073076175790e-01,5.527748886564385136e-03,1.299726861425065074e-13,4.405817559319187343e-04
3.627335702800253057e+05,1.163999914517055063e-06,6.148288436724192252e+02,4.057749631069722302e-32,5.366388840422531194e-04,1.098066828266422851e-01,5.609566762875356494e-03,1.358296396548009575e-13,4.471029780097733218e-04
3.625346115668945131e+05,1.181229644199839824e-06,6.148288585537675317e+02,4.057760464748538917e-32,5.445822629456242023e-04,1.114320604476791293e-01,5.692600591557533778e-03,1.419508915953062342e-13,4.537211176597256328e-04
3.621366941406329279e+05,1.216461158778493205e-06,6.148288889805822919e+02,4.057782615676098002e-32,5.608249554881786182e-04,1.147556480104505311e-01,5.862388955470801931e-03,1.550346036579379469e-13,4.672539562847886538e-04
3.617387767143712845e+05,1.252747843445329585e-06,6.148289203149596460e+02,4.057805427440559167e-32,5.775541047970622838e-04,1.181787757158784258e-01,6.037262420028254202e-03,1.693260004288507482e-13,4.811921036598947651e-04
3.613408592881096993e+05,1.290121430140528444e-06,6.148289525840820033e+02,4.057828919842180491e-32,5.947843396644552022e-04,1.217044370164261091e-01,6.217373908880724151e-03,1.849367175453880333e-13,4.955477488966123032e-04
3.609429418618481141e+05,1.328614608962527713e-06,6.148289858159494088e+02,4.057853113277345007e-32,6.125307305842569560e-04,1.253357157529962074e-01,6.402880963288554508e-03,2.019887247999623952e-13,5.103334491817944829e-04
3.605450244355865289e+05,1.368261057221453555e-06,6.148290200394036447e+02,4.057878028755975672e-32,6.308088031442543988e-04,1.290757888957024813e-01,6.593945882138390474e-03,2.206152841413785547e-13,5.255621409396017121e-04
3.601471070093249436e+05,1.409095469381564586e-06,6.148290552841544923e+02,4.057903687921053371e-32,6.496345518279349716e-04,1.329279293685073915e-01,6.790735866244968118e-03,2.409619966133133118e-13,5.412471513352175951e-04
3.597491895830633584e+05,1.451153587903784641e-06,6.148290915808053114e+02,4.057930113066464313e-32,6.690244542311228181e-04,1.368955089587690355e-01,6.993423166990671638e-03,2.631879464899860360e-13,5.574022101244407697e-04
3.590921594566434505e+05,1.523375760230498680e-06,6.148291538995745213e+02,4.057975483560274706e-32,7.023207638000314532e-04,1.437086338967883958e-01,7.341477678587731912e-03,3.044699969287526159e-13,5.851436835692564202e-04
3.584351293302235426e+05,1.599207502569389923e-06,6.148292193201593818e+02,4.058023112837657061e-32,7.372811556273351332e-04,1.508622699126370703e-01,7.706927524759307757e-03,3.522372138678818592e-13,6.142716635630325389e-04
3.577780992038035765e+05,1.678829972493946002e-06,6.148292879975974756e+02,4.058073113853578643e-32,7.739891444540972221e-04,1.583735066185431584e-01,8.090645747275066954e-03,4.075099300706924357e-13,6.448557387147478516e-04
3.571210690773836686e+05,1.762433457376106114e-06,6.148293600947077948e+02,4.058125605238934395e-32,8.125324536644757019e-04,1.662602948916942769e-01,8.493549386840609436e-03,4.714692533622107846e-13,6.769690049397886255e-04
3.564640389509637607e+05,1.850217836385209612e-06,6.148294357824830740e+02,4.058180711585373996e-32,8.530032282319282210e-04,1.745414904571569170e-01,8.916601709619567662e-03,5.454824380944837683e-13,7.106882429670752883e-04
3.558070088245438528e+05,1.942393065991119994e-06,6.148295152405019053e+02,4.058238563747629806e-32,8.954982584962589004e-04,1.832368996880732182e-01,9.360814547031753516e-03,6.311322663644272235e-13,7.460941048796436957e-04
3.551499786981239449e+05,2.039179690125369889e-06,6.148295986573613163e+02,4.058299299159925689e-32,9.401192153032246869e-04,1.923673277319812303e-01,9.827250754390157161e-03,7.302510735806466818e-13,7.832713101321077008e-04
3.544929485717040370e+05,2.140809376274955395e-06,6.148296862311318591e+02,4.058363062168019056e-32,9.869728970935312106e-04,2.019546290835028957e-01,1.031702679451871468e-02,8.449601536011725517e-13,8.223088515354266999e-04
3.536343036416032701e+05,2.281331096069210863e-06,6.148298072905494109e+02,4.058451207918037694e-32,1.051756651194449320e-03,2.152108351961643795e-01,1.099423225898394675e-02,1.022497809645740276e-12,8.762854995557973125e-04
3.527756587115024449e+05,2.431116038754081512e-06,6.148299362972026074e+02,4.058545142294129616e-32,1.120810872352399814e-03,2.293408932594293015e-01,1.171607934991077647e-02,1.237397876977264328e-12,9.338203924783179937e-04
3.519170137814016780e+05,2.590777431957611630e-06,6.148300737750302005e+02,4.058645247206933675e-32,1.194418254002262408e-03,2.444026524743170836e-01,1.248552336643441937e-02,1.497535601692039527e-12,9.951490995098297068e-04
3.510583688513008528e+05,2.760969270286329355e-06,6.148302202826586154e+02,4.058751929889028747e-32,1.272880281152341314e-03,2.604578078178423906e-01,1.330571607577698059e-02,1.812448766963794862e-12,1.060522852048735760e-03
3.501997239212000859e+05,2.942389036807456626e-06,6.148303764157077467e+02,4.058865624585834604e-32,1.356518484621403904e-03,2.775721567753487440e-01,1.418001882910351237e-02,2.193689211050878588e-12,1.130209589478338612e-03
3.493410789910992607e+05,3.135780606962112816e-06,6.148305428092510283e+02,4.058986794355608255e-32,1.445675779320315310e-03,2.958158732825263981e-01,1.511201655661430394e-02,2.655248780978479502e-12,1.204495075095011677e-03
