t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0.0,2968.705714001176,2926.260730397,36663.98925897593,26327.227463994685,459.9999999999999,0.9889216219930441,0.00022301270307023875,0.0,1.2494925401294684e+19,1.2386871096234168e+20,0.0,1.5490122484156655e+20,6.54330713989008e+17,58.05229158814953,0.4736383451817816,2.6919509437180245,52.9536270876943,1.2900324757946509,1.380800889268753e-07,0.00022301270307023875,0.028091426400036163,0.001232221878073631,3014579.1377185336
10.0,2967.89140932367,2935.0763610297604,25985.411781404877,26536.93362266816,459.9999999999999,0.9884166555185012,0.0002227545244254429,0.0,1.2491310364578791e+19,1.2387232599905757e+20,0.0,1.548985091042887e+20,6.540027152006013e+17,58.057915084279806,0.4742132996998476,2.6985465013560037,52.953208736186575,1.2887176763733064,1.3782353638205632e-07,0.0002227545244254429,0.028093724925234445,0.0012365381555806457,3014579.1377185336
30.0,2966.264854750034,2933.4545537237245,25919.69362963292,26471.250368707464,459.9999999999999,0.9874018912375696,0.00022224099590621707,0.0,1.2483991831740645e+19,1.2387964453189571e+20,0.0,1.5489306430702662e+20,6.533600403300838e+17,58.06923819086144,0.47537393425574215,2.7117904737415515,52.95236003958838,1.2861128466241654,1.3731569022380519e-07,0.00022224099590621707,0.028098322136079483,0.0012452428733138528,3014579.1377185336
70.0,2963.01999135153,2930.2173617074645,25788.450860969137,26339.094977657944,459.9999999999999,0.9853137317487974,0.00022123408689894274,0.0,1.246867859126503e+19,1.2389495777237133e+20,0.0,1.5488210562978746e+20,6.521573335051049e+17,58.09239169872704,0.4777665733470682,2.7385475713107295,52.95067845862317,1.2810522969793483,1.363290977070792e-07,0.00022123408689894274,0.02810750535530726,0.0012631614183021775,3014579.1377185336
131.63587659597397,2958.0455686689556,2925.2551010459356,25585.666108517475,26134.822869208245,459.9999999999999,0.9820327753848005,0.0002197078476771169,0.0,1.2444357859757916e+19,1.2391927850387844e+20,0.0,1.5486513567670328e+20,6.504292890436664e+17,58.128725876261655,0.4815501822519643,2.78026870733663,52.94792475742669,1.2734912064521724,1.3485989967324554e-07,0.0002197078476771169,0.02812165271088117,0.001291503859441655,3014579.1377185336
193.58867044001818,2953.0852263160314,2920.3072777535012,25379.136152450028,25926.91386170249,459.9999999999999,0.9786107635031562,0.00021822359106651287,0.0,1.241845936571474e+19,1.2394517699792162e+20,0.0,1.5484794907040386e+20,6.489029995625791e+17,58.16637757343088,0.485521776432178,2.8228526522923736,52.94508105911918,1.2662837353536562,1.3346160345425561e-07,0.00021822359106651287,0.02813582625532673,0.0013212563222368182,3014579.1377185336
256.03677324950695,2948.1255866564547,2915.360093397916,25171.563641742152,25718.200711620884,459.9999999999999,0.9750958929969616,0.00021675834576694253,0.0,1.2391587426497036e+19,1.2397204893713932e+20,0.0,1.548305975826597e+20,6.47514768682787e+17,58.20503381565682,0.4896372959941149,2.8663074948931313,52.94199636237415,1.2593067231760329,1.321132300279446e-07,0.00021675834576694253,0.028150090565816965,0.0013521396180958744,3014579.1377185336
318.993063531816,2943.166431423855,2910.413327575523,24963.782183276166,25509.13819105514,459.9999999999999,0.9715046337495092,0.000215306593108253,0.0,1.2363930379868373e+19,1.2399970598376799e+20,0.0,1.5481309067493782e+20,6.462482632570664e+17,58.2445876697189,0.4938838017499276,2.9106183159512544,52.938623132075094,1.252530176319995,1.3080945909413203e-07,0.000215306593108253,0.028164456529798675,0.0013840714297533765,3014579.1377185336
382.46787659823895,2938.207675304706,2905.4653121429196,24755.06035174297,25298.647936139198,459.9999999999999,0.9677867654156909,0.00021388330930258045,0.0,1.2334914985003074e+19,1.2402872137863329e+20,0.0,1.5479537074482404e+20,6.451566637418742e+17,58.285417570221234,0.4983178343485116,2.955915924921824,52.935060728295774,1.2460409088739637,1.2956353210283759e-07,0.00021388330930258045,0.028178909614040293,0.0014174969430958998,3014579.1377185336
446.47063409537077,2933.2495407364368,2900.518814289489,24546.62811391963,25088.556400189544,459.9999999999999,0.9640215491300789,0.0002124639778976106,0.0,1.230544972126426e+19,1.240581866423721e+20,0.0,1.547775154951078e+20,6.441585096193226e+17,58.32695483417358,0.5028604357295804,3.0020427484589427,52.93112336416259,1.2397002450996781,1.283529989238983e-07,0.0002124639778976106,0.028193482670577825,0.0014518278623046681,3014579.1377185336
