,t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0,0.0,2968.705714001176,2953.862185431169,9033.45933237343,8597.997174245156,459.9999999999999,0.988921621993044,0.0002230127030702,0.0,2.3299466673426235e+19,2.4942780605384648e+20,0.0,4.6076949724262616e+20,5.89716942404053e+18,119.02298455249954,3.955576188406181,5.02478057600828,98.68892075860192,10.756878643346136,1.7864782072064926e-05,0.0002230127030702,0.0260013616959483,0.0012322218780736,3014579.1377185336
1,10.0,2968.4456994311518,2954.5294792395184,8285.910745808067,8604.221114705655,459.9999999999999,0.9887620406298931,0.0002229294855274,0.0,2.32978349047479e+19,2.494294378225248e+20,0.0,4.60757964269724e+20,5.896012323536427e+18,119.0266449332346,3.9570507359483296,5.028800772327107,98.69065864888236,10.753237763233674,1.785410326826725e-05,0.0002229294855274,0.026002635153543,0.0012335839385494,3014579.1377185336
2,30.0,2967.925858996934,2954.0093270634484,8279.964015667792,8598.357496594259,459.9999999999999,0.9884381477564416,0.0002227653892657,0.0,2.329439874984103e+19,2.494328739774317e+20,0.0,4.607348241303108e+20,5.893772316137247e+18,119.03411889607172,3.9600605426902495,5.036873114806005,98.69408404535504,10.74606675187593,1.7833019909956005e-05,0.0002227653892657,0.0260051594007563,0.0012363541847239,3014579.1377185336
3,70.0,2966.886936779667,2952.9697346011862,8268.125111280478,8586.696968531414,459.9999999999999,0.987789991725382,0.0002224375217526,0.0,2.3287504262714884e+19,2.4943976846455783e+20,0.0,4.606885356903754e+20,5.889318937829237e+18,119.04910802735589,3.966094944170341,5.053049729330468,98.70088528802664,10.731769241179952,1.7791022123759513e-05,0.0002224375217526,0.0260102009567048,0.0012419094660395,3014579.1377185336
4,150.0,2964.812109878468,2950.893693100453,8244.420613660086,8563.324061174288,459.9999999999999,0.9864901876255184,0.0002217831975923,0.0,2.3273618023738737e+19,2.49453654703534e+20,0.0,4.605959219482312e+20,5.880522003773538e+18,119.07925882440624,3.978226184718408,5.085532306822894,98.71428775825471,10.703356852868982,1.7707711011661787e-05,0.0002217831975923,0.0260202553726115,0.0012530849414608,3014579.1377185336
5,310.0,2960.674552624779,2946.752695931216,8196.536560421162,8516.095944994751,459.9999999999999,0.9837740427538466,0.0002205134117734,0.0,2.324296850727754e+19,2.494843042199952e+20,0.0,4.604092251689053e+20,5.864371522042465e+18,119.14238601754953,4.003598054653857,5.151374726806246,98.73972835703056,10.648738617314232,1.7547254637167214e-05,0.0002205134117734,0.0260399384682123,0.001276425163456,3014579.1377185336
6,503.3507987782359,2955.704000656233,2941.778287950748,8138.216248167426,8458.716697981283,459.9999999999999,0.9804173881814378,0.0002190085086159,0.0,2.320397976113761e+19,2.495232929661351e+20,0.0,4.601829710632629e+20,5.846194636812964e+18,119.22094230639686,4.035144044862808,5.231950121969549,98.7687021945384,10.584894977698548,1.7360161451827496e-05,0.0002190085086159,0.0260633234382272,0.0013054948643497,3014579.1377185336
7,697.8471042215824,2950.739683140608,2936.8099671642126,8079.868963003282,8401.117425798851,459.9999999999999,0.9769889368183612,0.0002175192574656,0.0,2.316329458997248e+19,2.4956397813730024e+20,0.0,4.599555058689178e+20,5.829138837240907e+18,119.30187018020835,4.067629465204363,5.313972971998806,98.79601720425929,10.52270354743039,1.7178611244534233e-05,0.0002175192574656,0.0260864708140763,0.0013355010910289,3014579.1377185336
8,893.7414087578654,2945.7755869357934,2931.8407570456025,8020.802578113558,8342.81259275317,459.9999999999999,0.9733940994792148,0.0002160717386609,0.0,2.3118702531979182e+19,2.4960857019529357e+20,0.0,4.597258944217308e+20,5.814077428005324e+18,119.387182397682,4.101895215828596,5.397893901998303,98.82117076482058,10.46338341101873,1.7005349944216346e-05,0.0002160717386609,0.0261091359973099,0.0013672121064776,3014579.1377185336
9,1091.0525571033359,2940.8122115984006,2926.872687685359,7961.848753564978,8284.619348274582,459.9999999999999,0.9697646549494384,0.000214624504131,0.0,2.307335515448171e+19,2.49653917572791e+20,0.0,4.594953781939614e+20,5.799732685971439e+18,119.47417992155788,4.1368535697892765,5.483272830993768,98.84487627425516,10.405054978792792,1.6835948322005887e-05,0.000214624504131,0.0261317165156256,0.0013996747120992,3014579.1377185336
