,t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0,0.0,2968.705714001176,2953.862185431169,8698.625043935084,7418.91731934348,879.9970921835212,0.9904657743470665,0.00022248527583041428,0.0,2.0633970961379852e+19,2.5209330176589287e+20,0.0,4.5926509674635624e+20,7.401569920310537e+18,121.16555198716863,4.853927532565883,4.963967061862382,97.60475611178668,13.214800003245275,2.6695603703100732e-05,0.00022248527583041428,0.02542701148297986,0.0012600342129167785,2334559.9347128547
1,10.0,2968.488834356893,2956.21993097298,6745.615726588472,7438.802965395951,879.9970921835212,0.9903503738578381,0.0002224100085425848,0.0,2.0633294141056516e+19,2.520939785862162e+20,0.0,4.59252743170577e+20,7.400010502311649e+18,121.16814187159667,4.85520695126743,4.967248956996002,97.60691023883062,13.21062266437051,2.668104732425148e-05,0.0002224100085425848,0.025428290810945504,0.0012610862280813052,2334559.9347128547
2,30.0,2968.0552005656887,2955.7864581399936,6741.705546522522,7434.998923326304,879.9970921835212,0.9901170418274554,0.00022226074711705518,0.0,2.063185471517511e+19,2.520954180120976e+20,0.0,4.592279844457298e+20,7.396943239602627e+18,121.17340920595407,4.857805535284723,4.973830168701289,97.61117468424014,13.20234220474515,2.66521569360776e-05,0.00022226074711705518,0.02543083425109353,0.0012632158514357726,2334559.9347128547
3,70.0,2967.1884386051734,2954.9200129123087,6733.883437703798,7427.389521980623,879.9970921835212,0.9896493882885999,0.00022196283425892572,0.0,2.0628937179163787e+19,2.5209833554810893e+20,0.0,4.591784484880844e+20,7.390845757068807e+18,121.18399639304765,4.863023677028001,4.987017305493136,97.61965305747134,13.185838907996319,2.6594608704061022e-05,0.00022196283425892572,0.02543591074440454,0.0012674901153724356,2334559.9347128547
4,150.0,2965.456937255185,2953.1891933144802,6718.287459765652,7412.224761541282,879.9970921835212,0.9887151724707149,0.0002213669773465846,0.0,2.0623116374414262e+19,2.5210415635285846e+20,0.0,4.590793967923474e+20,7.378704149123721e+18,121.20521589543334,4.873467363493268,5.013466334811685,97.63647808987845,13.152928200982393,2.648006529585246e-05,0.0002213669773465846,0.025446050699252366,0.0012760500083819658,2334559.9347128547
5,310.0,2962.0019979961094,2949.735033200433,6686.673044272056,7381.540140112668,879.9970921835212,0.9867576734112017,0.000220205659362172,0.0,2.0609431877257298e+19,2.5211784085001542e+20,0.0,4.588801993538126e+20,7.355808372914604e+18,121.24989398074135,4.8953453427035685,5.066969473525487,97.66872985208609,13.089151935470955,2.625779450788338e-05,0.000220205659362172,0.0254659262322446,0.0012938974506811276,2334559.9347128547
6,541.552551291883,2957.0255740747334,2944.759812434141,6640.820927033245,7337.118762664433,879.9970921835212,0.9838683559369111,0.00021854835420123014,0.0,2.058822869853923e+19,2.521390440287335e+20,0.0,4.5859137970218526e+20,7.324060793770791e+18,121.31646299759603,4.927784070335054,5.145279582515133,97.71348847616581,12.999036017180831,2.59447938153597e-05,0.00021854835420123014,0.02549428810959277,0.0013203526171104377,2334559.9347128547
7,774.202095374465,2952.059662015474,2939.7953274834235,6594.226764325248,7292.180480642534,879.9970921835212,0.9808720509905395,0.00021692228250154221,0.0,2.056462153197981e+19,2.521626511952929e+20,0.0,4.583007885439961e+20,7.29422191994398e+18,121.38621646895467,4.961595620849156,5.225021158212944,97.75584676950191,12.911709540944747,2.564230381307359e-05,0.00021692228250154221,0.025522161782809638,0.0013478968393839223,2334559.9347128547
8,1008.4486358910799,2947.094182495525,2934.8306510139696,6547.265572429744,7246.83108924875,879.9970921835212,0.9777501719209007,0.00021532732437226372,0.0,2.0538292043431707e+19,2.52188980683841e+20,0.0,4.580083417549643e+20,7.266401127243935e+18,121.45961182847968,4.99702204530562,5.306423800649866,97.79573740815148,12.827223365787509,2.535028126974045e-05,0.00021532732437226372,0.025549554554406557,0.0013767321488755767,2334559.9347128547
9,1244.3236803635955,2942.129256573294,2929.8670379412824,6500.209863790014,7201.453630893595,879.9970921835212,0.974588005675125,0.00021373637626478792,0.0,2.0511126372611064e+19,2.5221614635466165e+20,0.0,4.577150199648878e+20,7.239543394288588e+18,121.53481541043992,5.033209199037942,5.389233140242442,97.8339315882231,12.744082192782894,2.5064513482238448e-05,0.00021373637626478792,0.02557678501458764,0.0014062284141832106,2334559.9347128547
10,1481.8650336191058,2937.164586924234,2924.902859712483,6452.505422254006,7155.488296856594,879.9970921835212,0.9712648911276931,0.00021218628799684589,0.0,2.0480479853361463e+19,2.5224679287391126e+20,0.0,4.574187234583109e+20,7.215111740227925e+18,121.61449087158357,5.071435972106762,5.47389622514414,97.86933623301896,12.664315330380965,2.479045507914164e-05,0.00021218628799684589,0.025603424449901723,0.0014373994749613654,2334559.9347128547
