pressure[Pa] solidus[K] liquidus[K]
8.6036e+09 2.1495e+03 2.3105e+03
8.6688e+09 2.1520e+03 2.3111e+03
8.7340e+09 2.1546e+03 2.3117e+03
8.7992e+09 2.1571e+03 2.3123e+03
8.8644e+09 2.1596e+03 2.3129e+03
8.9295e+09 2.1621e+03 2.3135e+03
8.9947e+09 2.1646e+03 2.3141e+03
9.0599e+09 2.1670e+03 2.3147e+03
9.1251e+09 2.1694e+03 2.3153e+03
9.1903e+09 2.1718e+03 2.3159e+03
9.2554e+09 2.1742e+03 2.3165e+03
9.3206e+09 2.1766e+03 2.3171e+03
9.3858e+09 2.1789e+03 2.3177e+03
9.4510e+09 2.1813e+03 2.3183e+03
9.5162e+09 2.1836e+03 2.3189e+03
9.5813e+09 2.1859e+03 2.3195e+03
9.6465e+09 2.1881e+03 2.3201e+03
9.7117e+09 2.1904e+03 2.3207e+03
9.7769e+09 2.1926e+03 2.3213e+03
9.8421e+09 2.1948e+03 2.3220e+03
9.9072e+09 2.1971e+03 2.3226e+03
9.9724e+09 2.1992e+03 2.3232e+03
1.0038e+10 2.2014e+03 2.3239e+03
1.0103e+10 2.2036e+03 2.3245e+03
1.0168e+10 2.2057e+03 2.3252e+03
1.0233e+10 2.2078e+03 2.3259e+03
1.0298e+10 2.2099e+03 2.3265e+03
1.0363e+10 2.2120e+03 2.3272e+03
1.0429e+10 2.2141e+03 2.3279e+03
1.0494e+10 2.2161e+03 2.3287e+03
1.0559e+10 2.2182e+03 2.3294e+03
1.0624e+10 2.2202e+03 2.3301e+03
1.0689e+10 2.2222e+03 2.3309e+03
1.0755e+10 2.2242e+03 2.3316e+03
1.0820e+10 2.2262e+03 2.3324e+03
1.0885e+10 2.2282e+03 2.3332e+03
1.0950e+10 2.2301e+03 2.3340e+03
1.1015e+10 2.2321e+03 2.3348e+03
1.1080e+10 2.2340e+03 2.3357e+03
1.1146e+10 2.2359e+03 2.3365e+03
1.1211e+10 2.2378e+03 2.3374e+03
1.1276e+10 2.2397e+03 2.3383e+03
1.1341e+10 2.2416e+03 2.3392e+03
1.1406e+10 2.2435e+03 2.3402e+03
1.1472e+10 2.2453e+03 2.3411e+03
1.1537e+10 2.2471e+03 2.3421e+03
1.1602e+10 2.2490e+03 2.3431e+03
1.1667e+10 2.2508e+03 2.3441e+03
1.1732e+10 2.2526e+03 2.3451e+03
1.1797e+10 2.2544e+03 2.3462e+03
1.1863e+10 2.2562e+03 2.3473e+03
1.1928e+10 2.2579e+03 2.3484e+03
1.1993e+10 2.2597e+03 2.3495e+03
1.2058e+10 2.2614e+03 2.3507e+03
1.2123e+10 2.2631e+03 2.3519e+03
1.2188e+10 2.2649e+03 2.3531e+03
1.2254e+10 2.2666e+03 2.3543e+03
1.2319e+10 2.2683e+03 2.3556e+03
1.2384e+10 2.2700e+03 2.3569e+03
1.2449e+10 2.2716e+03 2.3582e+03
1.2514e+10 2.2733e+03 2.3596e+03
1.2580e+10 2.2750e+03 2.3609e+03
1.2645e+10 2.2766e+03 2.3624e+03
1.2710e+10 2.2782e+03 2.3638e+03
1.2775e+10 2.2799e+03 2.3653e+03
1.2840e+10 2.2815e+03 2.3668e+03
1.2905e+10 2.2831e+03 2.3683e+03
1.2971e+10 2.2847e+03 2.3699e+03
1.3036e+10 2.2862e+03 2.3715e+03
1.3101e+10 2.2878e+03 2.3731e+03
1.3166e+10 2.2894e+03 2.3748e+03
1.3231e+10 2.2909e+03 2.3765e+03
1.3297e+10 2.2925e+03 2.3783e+03
1.3362e+10 2.2940e+03 2.3800e+03
1.3427e+10 2.2955e+03 2.3819e+03
1.3492e+10 2.2971e+03 2.3837e+03
1.3557e+10 2.2986e+03 2.3856e+03
1.3622e+10 2.3001e+03 2.3875e+03
1.3688e+10 2.3016e+03 2.3895e+03
1.3753e+10 2.3030e+03 2.3915e+03
1.3818e+10 2.3045e+03 2.3936e+03
1.3883e+10 2.3060e+03 2.3957e+03
1.3948e+10 2.3074e+03 2.3978e+03
1.4014e+10 2.3089e+03 2.3999e+03
1.4079e+10 2.3103e+03 2.4018e+03
1.4144e+10 2.3117e+03 2.4037e+03
1.4209e+10 2.3132e+03 2.4056e+03
1.4274e+10 2.3146e+03 2.4074e+03
1.4339e+10 2.3160e+03 2.4093e+03
1.4405e+10 2.3174e+03 2.4112e+03
1.4470e+10 2.3188e+03 2.4131e+03
1.4535e+10 2.3202e+03 2.4150e+03
1.4600e+10 2.3215e+03 2.4168e+03
1.4665e+10 2.3229e+03 2.4187e+03
1.4730e+10 2.3243e+03 2.4206e+03
1.4796e+10 2.3256e+03 2.4225e+03
1.4861e+10 2.3269e+03 2.4244e+03
1.4926e+10 2.3283e+03 2.4262e+03
1.4991e+10 2.3296e+03 2.4281e+03
1.5056e+10 2.3309e+03 2.4300e+03
1.5122e+10 2.3322e+03 2.4319e+03
1.5187e+10 2.3336e+03 2.4338e+03
1.5252e+10 2.3348e+03 2.4356e+03
1.5317e+10 2.3361e+03 2.4375e+03
1.5382e+10 2.3374e+03 2.4394e+03
1.5447e+10 2.3387e+03 2.4413e+03
1.5513e+10 2.3400e+03 2.4432e+03
1.5578e+10 2.3412e+03 2.4450e+03
1.5643e+10 2.3425e+03 2.4469e+03
1.5708e+10 2.3437e+03 2.4488e+03
1.5773e+10 2.3450e+03 2.4507e+03
1.5839e+10 2.3462e+03 2.4526e+03
1.5904e+10 2.3475e+03 2.4544e+03
1.5969e+10 2.3487e+03 2.4563e+03
1.6034e+10 2.3499e+03 2.4582e+03
1.6099e+10 2.3511e+03 2.4601e+03
1.6164e+10 2.3523e+03 2.4620e+03
1.6230e+10 2.3535e+03 2.4639e+03
1.6295e+10 2.3547e+03 2.4657e+03
1.6360e+10 2.3559e+03 2.4676e+03
1.6425e+10 2.3571e+03 2.4695e+03
1.6490e+10 2.3582e+03 2.4714e+03
1.6556e+10 2.3594e+03 2.4733e+03
1.6621e+10 2.3606e+03 2.4751e+03
1.6686e+10 2.3617e+03 2.4770e+03
1.6751e+10 2.3629e+03 2.4789e+03
1.6816e+10 2.3640e+03 2.4808e+03
1.6881e+10 2.3651e+03 2.4827e+03
1.6947e+10 2.3663e+03 2.4845e+03
1.7012e+10 2.3674e+03 2.4864e+03
1.7077e+10 2.3685e+03 2.4883e+03
1.7142e+10 2.3696e+03 2.4902e+03
1.7207e+10 2.3707e+03 2.4921e+03
1.7272e+10 2.3719e+03 2.4939e+03
1.7338e+10 2.3729e+03 2.4958e+03
1.7403e+10 2.3740e+03 2.4977e+03
1.7468e+10 2.3751e+03 2.4996e+03
1.7533e+10 2.3762e+03 2.5015e+03
1.7598e+10 2.3773e+03 2.5033e+03
1.7664e+10 2.3784e+03 2.5052e+03
1.7729e+10 2.3794e+03 2.5071e+03
1.7794e+10 2.3805e+03 2.5090e+03
1.7859e+10 2.3815e+03 2.5109e+03
1.7924e+10 2.3826e+03 2.5127e+03
1.7989e+10 2.3836e+03 2.5146e+03
1.8055e+10 2.3847e+03 2.5165e+03
1.8120e+10 2.3857e+03 2.5184e+03
1.8185e+10 2.3867e+03 2.5203e+03
1.8250e+10 2.3878e+03 2.5221e+03
1.8315e+10 2.3888e+03 2.5240e+03
1.8381e+10 2.3898e+03 2.5259e+03
1.8446e+10 2.3908e+03 2.5278e+03
1.8511e+10 2.3918e+03 2.5297e+03
1.8576e+10 2.3928e+03 2.5315e+03
1.8641e+10 2.3938e+03 2.5334e+03
1.8706e+10 2.3948e+03 2.5353e+03
1.8772e+10 2.3958e+03 2.5372e+03
1.8837e+10 2.3967e+03 2.5391e+03
1.8902e+10 2.3977e+03 2.5409e+03
1.8967e+10 2.3987e+03 2.5428e+03
1.9032e+10 2.3997e+03 2.5447e+03
1.9097e+10 2.4006e+03 2.5466e+03
1.9163e+10 2.4016e+03 2.5485e+03
1.9228e+10 2.4025e+03 2.5504e+03
1.9293e+10 2.4035e+03 2.5522e+03
1.9358e+10 2.4044e+03 2.5541e+03
1.9423e+10 2.4054e+03 2.5560e+03
1.9489e+10 2.4063e+03 2.5579e+03
1.9554e+10 2.4072e+03 2.5598e+03
1.9619e+10 2.4082e+03 2.5616e+03
1.9684e+10 2.4091e+03 2.5635e+03
1.9749e+10 2.4100e+03 2.5654e+03
1.9814e+10 2.4109e+03 2.5673e+03
1.9880e+10 2.4118e+03 2.5692e+03
1.9945e+10 2.4127e+03 2.5710e+03
2.0010e+10 2.4136e+03 2.5729e+03
2.0075e+10 2.4145e+03 2.5748e+03
2.0140e+10 2.4154e+03 2.5767e+03
2.0206e+10 2.4163e+03 2.5786e+03
2.0271e+10 2.4172e+03 2.5804e+03
2.0336e+10 2.4181e+03 2.5823e+03
2.0401e+10 2.4189e+03 2.5842e+03
2.0466e+10 2.4198e+03 2.5861e+03
2.0531e+10 2.4207e+03 2.5880e+03
2.0597e+10 2.4215e+03 2.5898e+03
2.0662e+10 2.4224e+03 2.5917e+03
2.0727e+10 2.4233e+03 2.5936e+03
2.0792e+10 2.4241e+03 2.5955e+03
2.0857e+10 2.4250e+03 2.5974e+03
2.0923e+10 2.4258e+03 2.5992e+03
2.0988e+10 2.4267e+03 2.6011e+03
2.1053e+10 2.4275e+03 2.6030e+03
2.1118e+10 2.4283e+03 2.6049e+03
2.1183e+10 2.4292e+03 2.6068e+03
2.1248e+10 2.4300e+03 2.6086e+03
2.1314e+10 2.4308e+03 2.6105e+03
2.1379e+10 2.4316e+03 2.6124e+03
2.1444e+10 2.4324e+03 2.6143e+03
2.1509e+10 2.4333e+03 2.6162e+03
2.1574e+10 2.4341e+03 2.6180e+03
2.1639e+10 2.4349e+03 2.6199e+03
2.1705e+10 2.4357e+03 2.6218e+03
2.1770e+10 2.4365e+03 2.6237e+03
2.1835e+10 2.4373e+03 2.6256e+03
2.1900e+10 2.4381e+03 2.6274e+03
2.1965e+10 2.4388e+03 2.6293e+03
2.2031e+10 2.4396e+03 2.6312e+03
2.2096e+10 2.4404e+03 2.6331e+03
2.2161e+10 2.4412e+03 2.6350e+03
2.2226e+10 2.4420e+03 2.6369e+03
2.2291e+10 2.4427e+03 2.6387e+03
2.2356e+10 2.4435e+03 2.6406e+03
2.2422e+10 2.4443e+03 2.6425e+03
2.2487e+10 2.4450e+03 2.6444e+03
2.2552e+10 2.4458e+03 2.6463e+03
2.2617e+10 2.4465e+03 2.6481e+03
2.2682e+10 2.4473e+03 2.6500e+03
2.2748e+10 2.4480e+03 2.6519e+03
2.2813e+10 2.4488e+03 2.6538e+03
2.2878e+10 2.4495e+03 2.6557e+03
2.2943e+10 2.4503e+03 2.6575e+03
2.3008e+10 2.4510e+03 2.6594e+03
2.3073e+10 2.4517e+03 2.6613e+03
2.3139e+10 2.4524e+03 2.6632e+03
2.3204e+10 2.4532e+03 2.6651e+03
2.3269e+10 2.4539e+03 2.6669e+03
2.3334e+10 2.4546e+03 2.6688e+03
2.3399e+10 2.4553e+03 2.6707e+03
2.3464e+10 2.4560e+03 2.6726e+03
2.3530e+10 2.4568e+03 2.6797e+03
2.3595e+10 2.4575e+03 2.6920e+03
2.3660e+10 2.4582e+03 2.7033e+03
2.3725e+10 2.4589e+03 2.7137e+03
2.3790e+10 2.4596e+03 2.7233e+03
2.3856e+10 2.4603e+03 2.7323e+03
2.3921e+10 2.4610e+03 2.7407e+03
2.3986e+10 2.4616e+03 2.7487e+03
2.4051e+10 2.4623e+03 2.7563e+03
2.4116e+10 2.4630e+03 2.7635e+03
2.4181e+10 2.4637e+03 2.7704e+03
2.4247e+10 2.4644e+03 2.7770e+03
2.4312e+10 2.4650e+03 2.7834e+03
2.4377e+10 2.4657e+03 2.7895e+03
2.4442e+10 2.4664e+03 2.7953e+03
2.4507e+10 2.4671e+03 2.8010e+03
2.4573e+10 2.4677e+03 2.8065e+03
2.4638e+10 2.4684e+03 2.8119e+03
2.4703e+10 2.4690e+03 2.8171e+03
2.4768e+10 2.4697e+03 2.8221e+03
2.4833e+10 2.4704e+03 2.8270e+03
2.4898e+10 2.4710e+03 2.8318e+03
2.4964e+10 2.4717e+03 2.8365e+03
2.5029e+10 2.4771e+03 2.8411e+03
2.5094e+10 2.4881e+03 2.8455e+03
2.5159e+10 2.4985e+03 2.8499e+03
2.5224e+10 2.5084e+03 2.8542e+03
2.5290e+10 2.5178e+03 2.8584e+03
2.5355e+10 2.5267e+03 2.8625e+03
2.5420e+10 2.5353e+03 2.8665e+03
2.5485e+10 2.5435e+03 2.8705e+03
2.5550e+10 2.5513e+03 2.8744e+03
2.5615e+10 2.5589e+03 2.8782e+03
2.5681e+10 2.5662e+03 2.8820e+03
2.5746e+10 2.5732e+03 2.8857e+03
2.5811e+10 2.5801e+03 2.8893e+03
2.5876e+10 2.5866e+03 2.8929e+03
2.5941e+10 2.5930e+03 2.8964e+03
2.6006e+10 2.5992e+03 2.8999e+03
2.6072e+10 2.6052e+03 2.9034e+03
2.6137e+10 2.6111e+03 2.9068e+03
2.6202e+10 2.6167e+03 2.9101e+03
2.6267e+10 2.6223e+03 2.9135e+03
2.6332e+10 2.6277e+03 2.9167e+03
2.6398e+10 2.6329e+03 2.9200e+03
2.6463e+10 2.6381e+03 2.9232e+03
2.6528e+10 2.6431e+03 2.9263e+03
2.6593e+10 2.6480e+03 2.9295e+03
2.6658e+10 2.6528e+03 2.9325e+03
2.6723e+10 2.6575e+03 2.9356e+03
2.6789e+10 2.6621e+03 2.9386e+03
2.6854e+10 2.6666e+03 2.9416e+03
2.6919e+10 2.6710e+03 2.9446e+03
2.6984e+10 2.6753e+03 2.9475e+03
2.7049e+10 2.6796e+03 2.9504e+03
2.7115e+10 2.6837e+03 2.9533e+03
2.7180e+10 2.6878e+03 2.9562e+03
2.7245e+10 2.6919e+03 2.9590e+03
2.7310e+10 2.6958e+03 2.9618e+03
2.7375e+10 2.6997e+03 2.9646e+03
2.7440e+10 2.7036e+03 2.9674e+03
2.7506e+10 2.7073e+03 2.9701e+03
2.7571e+10 2.7110e+03 2.9728e+03
2.7636e+10 2.7147e+03 2.9755e+03
2.7701e+10 2.7183e+03 2.9782e+03
2.7766e+10 2.7218e+03 2.9809e+03
2.7831e+10 2.7253e+03 2.9835e+03
2.7897e+10 2.7288e+03 2.9861e+03
2.7962e+10 2.7322e+03 2.9887e+03
2.8027e+10 2.7355e+03 2.9913e+03
2.8092e+10 2.7388e+03 2.9939e+03
2.8157e+10 2.7421e+03 2.9964e+03
2.8223e+10 2.7453e+03 2.9989e+03
2.8288e+10 2.7485e+03 3.0015e+03
2.8353e+10 2.7516e+03 3.0039e+03
2.8418e+10 2.7548e+03 3.0064e+03
2.8483e+10 2.7578e+03 3.0089e+03
2.8548e+10 2.7609e+03 3.0113e+03
2.8614e+10 2.7639e+03 3.0138e+03
2.8679e+10 2.7668e+03 3.0162e+03
2.8744e+10 2.7697e+03 3.0186e+03
2.8809e+10 2.7726e+03 3.0210e+03
2.8874e+10 2.7755e+03 3.0234e+03
2.8940e+10 2.7784e+03 3.0257e+03
2.9005e+10 2.7812e+03 3.0281e+03
2.9070e+10 2.7839e+03 3.0304e+03
2.9135e+10 2.7867e+03 3.0328e+03
2.9200e+10 2.7894e+03 3.0351e+03
2.9265e+10 2.7921e+03 3.0374e+03
2.9331e+10 2.7948e+03 3.0397e+03
2.9396e+10 2.7974e+03 3.0420e+03
2.9461e+10 2.8001e+03 3.0442e+03
2.9526e+10 2.8027e+03 3.0465e+03
2.9591e+10 2.8052e+03 3.0487e+03
2.9657e+10 2.8078e+03 3.0510e+03
