radius[km] solidus[K] liquidus[K]
3528.62211071107 4019.08194137768 5170.62841890287
3528.90915391539 4018.98279208099 5170.52165623112
3529.19619711971 4018.8836169641 5170.41484672863
3529.48324032403 4018.78441602702 5170.30799039539
3529.77028352835 4018.68518926974 5170.20108723141
3530.05732673267 4018.58593669226 5170.09413723668
3530.34436993699 4018.48665829459 5169.9871404112
3530.63141314131 4018.38735407673 5169.88009675497
3530.91845634563 4018.28802403867 5169.773006268
3531.20549954996 4018.18866818041 5169.66586895028
3531.49254275428 4018.08928650196 5169.55868480181
3531.7795859586 4017.98987900331 5169.4514538226
3532.06662916292 4017.89044568447 5169.34417601264
3532.35367236724 4017.79098654543 5169.23685137194
3532.64071557156 4017.69150158619 5169.12947990048
3532.92775877588 4017.59199080676 5169.02206159828
3533.2148019802 4017.49245420714 5168.91459646534
3533.50184518452 4017.39289178732 5168.80708450164
3533.78888838884 4017.2933035473 5168.6995257072
3534.07593159316 4017.19368948709 5168.59192008202
3534.36297479748 4017.09404960668 5168.48426762608
3534.6500180018 4016.99438390608 5168.3765683394
3534.93706120612 4016.89469238528 5168.26882222198
3535.22410441044 4016.79497504429 5168.1610292738
3535.51114761476 4016.6952318831 5168.05318949488
3535.79819081908 4016.59546290171 5167.94530288521
3536.0852340234 4016.49566810013 5167.8373694448
3536.37227722772 4016.39584747835 5167.72938917364
3536.65932043204 4016.29600103638 5167.62136207173
3536.94636363636 4016.19612877422 5167.51328813908
3537.23340684068 4016.09623069185 5167.40516737568
3537.520450045 4015.9963067893 5167.29699978153
3537.80749324933 4015.89635706654 5167.18878535664
3538.09453645365 4015.79638152359 5167.08052410099
3538.38157965797 4015.69638016045 5166.97221601461
3538.66862286229 4015.59635297711 5166.86386109747
3538.95566606661 4015.49629997357 5166.75545934959
3539.24270927093 4015.39622114984 5166.64701077096
3539.52975247525 4015.29611650592 5166.53851536159
3539.81679567957 4015.1959860418 5166.42997312147
3540.10383888389 4015.09582975748 5166.3213840506
3540.39088208821 4014.99564765296 5166.21274814898
3540.67792529253 4014.89543972826 5166.10406541662
3540.96496849685 4014.79520598335 5165.99533585351
3541.25201170117 4014.69494641825 5165.88655945966
3541.53905490549 4014.59466103296 5165.77773623506
3541.82609810981 4014.49434982747 5165.66886617971
3542.11314131413 4014.39401280178 5165.55994929361
3542.40018451845 4014.2936499559 5165.45098557677
3542.68722772277 4014.19326128982 5165.34197502918
3542.97427092709 4014.09284680355 5165.23291765084
3543.26131413141 4013.99240649708 5165.12381344176
3543.54835733573 4013.89194037042 5165.01466240193
3543.83540054005 4013.79144842356 5164.90546453136
3544.12244374437 4013.69093065651 5164.79621983003
3544.4094869487 4013.59038706926 5164.68692829796
3544.69653015302 4013.48981766181 5164.57758993515
3544.98357335734 4013.38922243417 5164.46820474159
3545.27061656166 4013.28860138633 5164.35877271728
3545.55765976598 4013.1879545183 5164.24929386222
3545.8447029703 4013.08728183007 5164.13976817642
3546.13174617462 4012.98658332165 5164.03019565987
3546.41878937894 4012.88585899303 5163.92057631257
3546.70583258326 4012.78510884422 5163.81091013453
3546.99287578758 4012.68433287521 5163.70119712574
3547.2799189919 4012.583531086 5163.5914372862
3547.56696219622 4012.4827034766 5163.48163061592
3547.85400540054 4012.38185004701 5163.37177711488
3548.14104860486 4012.28097079722 5163.26187678311
3548.42809180918 4012.18006572723 5163.15192962058
3548.7151350135 4012.07913483705 5163.04193562731
3549.00217821782 4011.97817812667 5162.9318948033
3549.28922142214 4011.8771955961 5162.82180714853
3549.57626462646 4011.77618724533 5162.71167266302
3549.86330783078 4011.67515307436 5162.60149134676
3550.1503510351 4011.5740930832 5162.49126319976
3550.43739423942 4011.47300727185 5162.38098822201
3550.72443744374 4011.3718956403 5162.27066641351
3551.01148064807 4011.27075818855 5162.16029777427
3551.29852385239 4011.16959491661 5162.04988230428
3551.58556705671 4011.06840582447 5161.93942000354
3551.87261026103 4010.96719091214 5161.82891087205
3552.15965346535 4010.86595017961 5161.71835490982
3552.44669666967 4010.76468362688 5161.60775211684
3552.73373987399 4010.66339125396 5161.49710249312
3553.02078307831 4010.56207306085 5161.38640603865
3553.30782628263 4010.46072904754 5161.27566275343
3553.59486948695 4010.35935921403 5161.16487263746
3553.88191269127 4010.25796356033 5161.05403569075
3554.16895589559 4010.15654208643 5160.94315191329
3554.45599909991 4010.05509479234 5160.83222130509
3554.74304230423 4009.95362167805 5160.72124386613
3555.03008550855 4009.85212274357 5160.61021959643
3555.31712871287 4009.75059798889 5160.49914849599
3555.60417191719 4009.64904741402 5160.3880305648
3555.89121512151 4009.54747101895 5160.27686580286
3556.17825832583 4009.44586880368 5160.16565421017
3556.46530153015 4009.34424076822 5160.05439578674
3556.75234473447 4009.24258691256 5159.94309053256
3557.03938793879 4009.14090723671 5159.83173844763
3557.32643114311 4009.03920174066 5159.72033953196
3557.61347434743 4008.93747042442 5159.60889378554
3557.90051755176 4008.83571328798 5159.49740120837
3558.18756075608 4008.73393033135 5159.38586180046
3558.4746039604 4008.63212155452 5159.2742755618
3558.76164716472 4008.53028695749 5159.16264249239
3559.04869036904 4008.42842654027 5159.05096259224
3559.33573357336 4008.32654030286 5158.93923586134
3559.62277677768 4008.22462824525 5158.82746229969
3559.909819982 4008.12269036744 5158.7156419073
3560.19686318632 4008.02072666944 5158.60377468416
3560.48390639064 4007.91873715124 5158.49186063027
3560.77094959496 4007.81672181285 5158.37989974564
3561.05799279928 4007.71468065426 5158.26789203026
3561.3450360036 4007.61261367547 5158.15583748413
3561.63207920792 4007.51052087649 5158.04373610726
3561.91912241224 4007.40840225732 5157.93158789964
3562.20616561656 4007.30625781795 5157.81939286127
3562.49320882088 4007.20408755838 5157.70715099215
3562.7802520252 4007.10189147862 5157.59486229229
3563.06729522952 4006.99966957866 5157.48252676169
3563.35433843384 4006.89742185851 5157.37014440033
3563.64138163816 4006.79514831816 5157.25771520823
3563.92842484248 4006.69284895761 5157.14523918538
3564.2154680468 4006.59052377687 5157.03271633179
3564.50251125113 4006.48817277594 5156.92014664745
3564.78955445545 4006.38579595481 5156.80753013236
3565.07659765977 4006.28339331348 5156.69486678652
3565.36364086409 4006.18096485196 5156.58215660994
3565.65068406841 4006.07851057024 5156.46939960261
3565.93772727273 4005.97603046833 5156.35659576454
3566.22477047705 4005.87352454622 5156.24374509571
3566.51181368137 4005.77099280392 5156.13084759615
3566.79885688569 4005.66843524142 5156.01790326583
3567.08590009001 4005.56585185873 5155.90491210477
3567.37294329433 4005.46324265584 5155.79187411296
3567.65998649865 4005.36060763275 5155.6787892904
3567.94702970297 4005.25794678947 5155.5656576371
3568.23407290729 4005.15526012599 5155.45247915305
3568.52111611161 4005.05254764232 5155.33925383826
3568.80815931593 4004.94980933845 5155.22598169271
3569.09520252025 4004.84704521439 5155.11266271642
3569.38224572457 4004.74425527013 5154.99929690939
3569.66928892889 4004.64143950568 5154.88588427161
3569.95633213321 4004.53859792103 5154.77242480308
3570.24337533753 4004.43573051618 5154.6589185038
3570.53041854185 4004.33283729114 5154.54536537378
3570.81746174618 4004.22991824591 5154.43176541301
3571.1045049505 4004.12697338047 5154.31811862149
3571.39154815482 4004.02400269485 5154.20442499923
3571.67859135914 4003.92100618902 5154.09068454622
3571.96563456346 4003.81798386301 5153.97689726246
3572.25267776778 4003.71493571679 5153.86306314796
3572.5397209721 4003.61186175038 5153.74918220271
3572.82676417642 4003.50876196378 5153.63525442671
3573.11380738074 4003.40563635698 5153.52127981997
3573.40085058506 4003.30248492998 5153.40725838247
3573.68789378938 4003.19930768279 5153.29319011424
3573.9749369937 4003.0961046154 5153.17907501525
3574.26198019802 4002.99287572782 5153.06491308552
3574.54902340234 4002.88962102005 5152.95070432505
3574.83606660666 4002.78634049207 5152.83644873382
3575.12310981098 4002.6830341439 5152.72214631185
3575.4101530153 4002.57970197554 5152.60779705913
3575.69719621962 4002.47634398698 5152.49340097567
3575.98423942394 4002.37296017822 5152.37895806146
3576.27128262826 4002.26955054927 5152.2644683165
3576.55832583258 4002.16611510013 5152.14993174079
3576.8453690369 4002.06265383079 5152.03534833434
3577.13241224122 4001.95916674125 5151.92071809714
3577.41945544554 4001.85565383152 5151.8060410292
3577.70649864986 4001.75211510159 5151.69131713051
3577.99354185419 4001.64855055146 5151.57654640107
3578.28058505851 4001.54496018115 5151.46172884088
3578.56762826283 4001.44134399063 5151.34686444995
3578.85467146715 4001.33770197992 5151.23195322827
3579.14171467147 4001.23403414902 5151.11699517585
3579.42875787579 4001.13034049791 5151.00199029268
3579.71580108011 4001.02662102662 5150.88693857876
3580.00284428443 4000.92287573513 5150.77184003409
3580.28988748875 4000.81910462344 5150.65669465868
3580.57693069307 4000.71530769155 5150.54150245252
3580.86397389739 4000.61148493948 5150.42626341561
3581.15101710171 4000.5076363672 5150.31097754796
3581.43806030603 4000.40376197473 5150.19564484956
3581.72510351035 4000.29986176207 5150.08026532042
3582.01214671467 4000.19593572921 5149.96483896052
3582.29918991899 4000.09198387615 5149.84936576988
3582.58623312331 3999.9880062029 5149.7338457485
3582.87327632763 3999.88400270945 5149.61827889636
3583.16031953195 3999.77997339581 5149.50266521348
3583.44736273627 3999.67591826197 5149.38700469986
3583.73440594059 3999.57183730794 5149.27129735548
3584.02144914491 3999.46773053371 5149.15554318036
3584.30849234924 3999.36359793928 5149.0397421745
3584.59553555356 3999.25943952466 5148.92389433788
3584.88257875788 3999.15525528985 5148.80799967052
3585.1696219622 3999.05104523484 5148.69205817242
3585.45666516652 3998.94680935963 5148.57606984356
3585.74370837084 3998.84254766423 5148.46003468396
3586.03075157516 3998.73826014863 5148.34395269361
3586.31779477948 3998.63394681284 5148.22782387252
3586.6048379838 3998.52960765685 5148.11164822068
3586.89188118812 3998.42524268066 5147.99542573809
3587.17892439244 3998.32085188428 5147.87915642476
3587.46596759676 3998.21643526771 5147.76284028068
3587.75301080108 3998.11199283094 5147.64647730585
3588.0400540054 3998.00752457397 5147.53006750028
3588.32709720972 3997.90303049681 5147.41361086395
3588.61414041404 3997.79851059945 5147.29710739689
3588.90118361836 3997.6939648819 5147.18055709907
3589.18822682268 3997.58939334415 5147.06395997051
3589.475270027 3997.48479598621 5146.9473160112
3589.76231323132 3997.38017280807 5146.83062522115
3590.04935643564 3997.27552380973 5146.71388760035
3590.33639963996 3997.1708489912 5146.5971031488
3590.62344284428 3997.06614835248 5146.4802718665
3590.9104860486 3996.96142189356 5146.36339375346
3591.19752925293 3996.85666961444 5146.24646880967
3591.48457245725 3996.75189151513 5146.12949703514
3591.77161566157 3996.64708759562 5146.01247842985
3592.05865886589 3996.54225785592 5145.89541299382
3592.34570207021 3996.43740229602 5145.77830072705
3592.63274527453 3996.33252091592 5145.66114162953
3592.91978847885 3996.22761371563 5145.54393570126
3593.20683168317 3996.12268069515 5145.42668294224
3593.49387488749 3996.01772185447 5145.30938335248
3593.78091809181 3995.91273719359 5145.19203693197
3594.06796129613 3995.80772671252 5145.07464368071
3594.35500450045 3995.70269041125 5144.95720359871
3594.64204770477 3995.59762828979 5144.83971668596
3594.92909090909 3995.49254034813 5144.72218294247
3595.21613411341 3995.38742658628 5144.60460236822
3595.50317731773 3995.28228700423 5144.48697496323
3595.79022052205 3995.17712160198 5144.3693007275
3596.07726372637 3995.07193037954 5144.25157966101
3596.36430693069 3994.96671333691 5144.13381176378
3596.65135013501 3994.86147047408 5144.01599703581
3596.93839333933 3994.75620179105 5143.89813547708
3597.22543654365 3994.65090728783 5143.78022708761
3597.51247974797 3994.54558696441 5143.6622718674
3597.7995229523 3994.4402408208 5143.54426981643
3598.08656615662 3994.33486885699 5143.42622093472
3598.37360936094 3994.22947107298 5143.30812522226
3598.66065256526 3994.12404746878 5143.18998267906
3598.94769576958 3994.01859804439 5143.07179330511
3599.2347389739 3993.9131227998 5142.95355710041
3599.52178217822 3993.80762173501 5142.83527406497
3599.80882538254 3993.70209485003 5142.71694419878
3600.09586858686 3993.59654214485 5142.59856750184
3600.38291179118 3993.49096361948 5142.48014397415
3600.6699549955 3993.38535927391 5142.36167361572
3600.95699819982 3993.27972910815 5142.24315642655
3601.24404140414 3993.17407312219 5142.12459240662
3601.53108460846 3993.06839131603 5142.00598155595
3601.81812781278 3992.96268368968 5141.88732387453
3602.1051710171 3992.85695024314 5141.76861936237
3602.39221422142 3992.7511909764 5141.64986801945
3602.67925742574 3992.64540588946 5141.5310698458
3602.96630063006 3992.53959498233 5141.41222484139
3603.25334383438 3992.433758255 5141.29333300624
3603.5403870387 3992.32789570747 5141.17439434034
3603.82743024302 3992.22200733976 5141.05540884369
3604.11447344734 3992.11609315184 5140.9363765163
3604.40151665167 3992.01015314373 5140.81729735816
3604.68855985599 3991.90418731543 5140.69817136928
3604.97560306031 3991.79819566693 5140.57899854965
3605.26264626463 3991.69217819823 5140.45977889927
3605.54968946895 3991.58613490934 5140.34051241814
3605.83673267327 3991.48006580025 5140.22119910627
3606.12377587759 3991.37397087097 5140.10183896365
3606.41081908191 3991.26785012149 5139.98243199028
3606.69786228623 3991.16170355182 5139.86297818617
3606.98490549055 3991.05553116195 5139.74347755131
3607.27194869487 3990.94933295188 5139.62393008571
3607.55899189919 3990.84310892162 5139.50433578935
3607.84603510351 3990.73685907117 5139.38469466225
3608.13307830783 3990.63058340051 5139.26500670441
3608.42012151215 3990.52428190967 5139.14527191581
3608.70716471647 3990.41795459862 5139.02549029647
3608.99420792079 3990.31160146739 5138.90566184639
3609.28125112511 3990.20522251595 5138.78578656555
3609.56829432943 3990.09881774432 5138.66586445397
3609.85533753375 3989.9923871525 5138.54589551164
3610.14238073807 3989.88593074048 5138.42587973857
3610.42942394239 3989.77944850826 5138.30581713475
3610.71646714671 3989.67294045585 5138.18570770018
3611.00351035104 3989.56640658325 5138.06555143487
3611.29055355536 3989.45984689045 5137.94534833881
3611.57759675968 3989.35326137745 5137.825098412
3611.864639964 3989.24665004426 5137.70480165445
3612.15168316832 3989.14001289087 5137.58445806615
3612.43872637264 3989.03334991728 5137.4640676471
3612.72576957696 3988.9266611235 5137.3436303973
3613.01281278128 3988.81994650953 5137.22314631676
3613.2998559856 3988.71320607536 5137.10261540548
3613.58689918992 3988.60643982099 5136.98203766344
3613.87394239424 3988.49964774643 5136.86141309066
3614.16098559856 3988.39282985167 5136.74074168713
3614.44802880288 3988.28598613672 5136.62002345286
3614.7350720072 3988.17911660157 5136.49925838783
3615.02211521152 3988.07222124623 5136.37844649207
3615.30915841584 3987.96530007069 5136.25758776555
3615.59620162016 3987.85835307496 5136.13668220829
3615.88324482448 3987.75138025903 5136.01572982028
3616.1702880288 3987.6443816229 5135.89473060153
3616.45733123312 3987.53735716658 5135.77368455202
3616.74437443744 3987.43030689007 5135.65259167177
3617.03141764176 3987.32323079335 5135.53145196078
3617.31846084608 3987.21612887645 5135.41026541904
3617.60550405041 3987.10900113934 5135.28903204655
3617.89254725473 3987.00184758204 5135.16775184331
3618.17959045905 3986.89466820455 5135.04642480933
3618.46663366337 3986.78746300686 5134.9250509446
3618.75367686769 3986.68023198898 5134.80363024912
3619.04072007201 3986.5729751509 5134.6821627229
3619.32776327633 3986.46569249262 5134.56064836593
3619.61480648065 3986.35838401415 5134.43908717822
3619.90184968497 3986.25104971548 5134.31747915975
3620.18889288929 3986.14368959662 5134.19582431054
3620.47593609361 3986.03630365756 5134.07412263059
3620.76297929793 3985.92889189831 5133.95237411988
3621.05002250225 3985.82145431886 5133.83057877843
3621.33706570657 3985.71399091921 5133.70873660624
3621.62410891089 3985.60650169937 5133.58684760329
3621.91115211521 3985.49898665934 5133.4649117696
3622.19819531953 3985.39144579911 5133.34292910517
3622.48523852385 3985.28387911868 5133.22089960998
3622.77228172817 3985.17628661806 5133.09882328405
3623.05932493249 3985.06866829724 5132.97670012737
3623.34636813681 3984.96102415623 5132.85453013995
3623.63341134113 3984.85335419502 5132.73231332178
3623.92045454545 3984.74565841362 5132.61004967286
3624.20749774978 3984.63793681202 5132.4877391932
3624.4945409541 3984.53018939022 5132.36538188279
3624.78158415842 3984.42241614823 5132.24297774163
3625.06862736274 3984.31461708605 5132.12052676973
3625.35567056706 3984.20679220366 5131.99802896707
3625.64271377138 3984.09894150109 5131.87548433368
3625.9297569757 3983.99106497832 5131.75289286953
3626.21680018002 3983.88316263535 5131.63025457464
3626.50384338434 3983.77523447218 5131.507569449
3626.79088658866 3983.66728048883 5131.38483749262
3627.07792979298 3983.55930068527 5131.26205870549
3627.3649729973 3983.45129506152 5131.13923308761
3627.65201620162 3983.34326361758 5131.01636063898
3627.93905940594 3983.23520635343 5130.89344135961
3628.22610261026 3983.1271232691 5130.77047524949
3628.51314581458 3983.01901436457 5130.64746230863
3628.8001890189 3982.91087963984 5130.52440253701
3629.08723222322 3982.80271909492 5130.40129593466
3629.37427542754 3982.6945327298 5130.27814250155
3629.66131863186 3982.58632054448 5130.1549422377
3629.94836183618 3982.47808253897 5130.0316951431
3630.2354050405 3982.36981871327 5129.90840121775
3630.52244824482 3982.26152906737 5129.78506046166
3630.80949144915 3982.15321360127 5129.66167287482
3631.09653465347 3982.04487231498 5129.53823845724
3631.38357785779 3981.93650520849 5129.4147572089
3631.67062106211 3981.82811228181 5129.29122912982
3631.95766426643 3981.71969353493 5129.16765422
3632.24470747075 3981.61124896786 5129.04403247942
3632.53175067507 3981.50277858059 5128.92036390811
3632.81879387939 3981.39428237313 5128.79664850604
3633.10583708371 3981.28576034547 5128.67288627323
3633.39288028803 3981.17721249761 5128.54907720967
3633.67992349235 3981.06863882956 5128.42522131536
3633.96696669667 3980.96003934131 5128.30131859031
3634.25400990099 3980.85141403287 5128.17736903451
3634.54105310531 3980.74276290423 5128.05337264796
3634.82809630963 3980.6340859554 5127.92932943066
3635.11513951395 3980.52538318637 5127.80523938262
3635.40218271827 3980.41665459715 5127.68110250384
3635.68922592259 3980.30790018773 5127.5569187943
3635.97626912691 3980.19911995811 5127.43268825402
3636.26331233123 3980.0903139083 5127.308410883
3636.55035553555 3979.9814820383 5127.18408668122
3636.83739873987 3979.8726243481 5127.0597156487
3637.12444194419 3979.7637408377 5126.93529778543
3637.41148514851 3979.65483150711 5126.81083309142
3637.69852835284 3979.54589635632 5126.68632156666
3637.98557155716 3979.43693538533 5126.56176321115
3638.27261476148 3979.32794859416 5126.43715802489
3638.5596579658 3979.21893598278 5126.31250600789
3638.84670117012 3979.10989755121 5126.18780716014
3639.13374437444 3979.00083329945 5126.06306148165
3639.42078757876 3978.89174322748 5125.93826897241
3639.70783078308 3978.78262733533 5125.81342963242
3639.9948739874 3978.67348562298 5125.68854346169
3640.28191719172 3978.56431809043 5125.5636104602
3640.56896039604 3978.45512473768 5125.43863062798
3640.85600360036 3978.34590556475 5125.313603965
3641.14304680468 3978.23666057161 5125.18853047128
3641.430090009 3978.12738975828 5125.06341014681
3641.71713321332 3978.01809312476 5124.93824299159
3642.00417641764 3977.90877067104 5124.81302900563
3642.29121962196 3977.79942239712 5124.68776818892
3642.57826282628 3977.69004830301 5124.56246054147
3642.8653060306 3977.5806483887 5124.43710606326
3643.15234923492 3977.4712226542 5124.31170475432
3643.43939243924 3977.3617710995 5124.18625661462
3643.72643564356 3977.25229372461 5124.06076164418
3644.01347884788 3977.14279052952 5123.93521984299
3644.30052205221 3977.03326151423 5123.80963121105
3644.58756525653 3976.92370667875 5123.68399574837
3644.87460846085 3976.81412602308 5123.55831345494
3645.16165166517 3976.70451954721 5123.43258433076
3645.44869486949 3976.59488725114 5123.30680837584
3645.73573807381 3976.48522913488 5123.18098559017
3646.02278127813 3976.37554519842 5123.05511597375
3646.30982448245 3976.26583544177 5122.92919952659
3646.59686768677 3976.15609986492 5122.80323624868
3646.88391089109 3976.04633846788 5122.67722614002
3647.17095409541 3975.93655125064 5122.55116920062
3647.45799729973 3975.8267382132 5122.42506543047
3647.74504050405 3975.71689935557 5122.29891482957
3648.03208370837 3975.60703467774 5122.17271739793
3648.31912691269 3975.49714417972 5122.04647313554
3648.60617011701 3975.38722786151 5121.9201820424
3648.89321332133 3975.27728572309 5121.79384411852
3649.18025652565 3975.16731776449 5121.66745936388
3649.46729972997 3975.05732398568 5121.54102777851
3649.75434293429 3974.94730438668 5121.41454936238
3650.04138613861 3974.83725896749 5121.28802411551
3650.32842934293 3974.7271877281 5121.16145203789
3650.61547254725 3974.61709066851 5121.03483312953
3650.90251575158 3974.50696778873 5120.90816739042
3651.1895589559 3974.39681908875 5120.78145482056
3651.47660216022 3974.28664456858 5120.65469541995
3651.76364536454 3974.17644422821 5120.5278891886
3652.05068856886 3974.06621806765 5120.4010361265
3652.33773177318 3973.95596608689 5120.27413623366
3652.6247749775 3973.84568828594 5120.14718951007
3652.91181818182 3973.73538466479 5120.02019595573
3653.19886138614 3973.62505522344 5119.89315557064
3653.48590459046 3973.5146999619 5119.76606835481
3653.77294779478 3973.40431888017 5119.63893430823
3654.0599909991 3973.29391197824 5119.51175343091
3654.34703420342 3973.18347925611 5119.38452572284
3654.63407740774 3973.07302071379 5119.25725118402
3654.92112061206 3972.96253635127 5119.12992981445
3655.20816381638 3972.85202616855 5119.00256161414
3655.4952070207 3972.74149016565 5118.87514658308
3655.78225022502 3972.63092834254 5118.74768472127
3656.06929342934 3972.52034069924 5118.62017602872
3656.35633663366 3972.40972723574 5118.49262050542
3656.64337983798 3972.29908795205 5118.36501815138
3656.9304230423 3972.18842284817 5118.23736896658
3657.21746624662 3972.07773192408 5118.10967295104
3657.50450945095 3971.96701517981 5117.98193010476
3657.79155265527 3971.85627261533 5117.85414042772
3658.07859585959 3971.74550423067 5117.72630391994
3658.36563906391 3971.6347100258 5117.59842058142
3658.65268226823 3971.52389000074 5117.47049041214
3658.93972547255 3971.41304415549 5117.34251341212
3659.22676867687 3971.30217249004 5117.21448958136
3659.51381188119 3971.19127500439 5117.08641891984
3659.80085508551 3971.08035169855 5116.95830142758
3660.08789828983 3970.96940257251 5116.83013710458
3660.37494149415 3970.85842762628 5116.70192595082
3660.66198469847 3970.74742685985 5116.57366796632
3660.94902790279 3970.63640027323 5116.44536315107
3661.23607110711 3970.52534786641 5116.31701150508
3661.52311431143 3970.41426963939 5116.18861302834
3661.81015751575 3970.30316559218 5116.06016772085
3662.09720072007 3970.19203572478 5115.93167558262
3662.38424392439 3970.08088003718 5115.80313661364
3662.67128712871 3969.96969852938 5115.67455081391
3662.95833033303 3969.85849120139 5115.54591818343
3663.24537353735 3969.7472580532 5115.41723872221
3663.53241674167 3969.63599908482 5115.28851243024
3663.81945994599 3969.52471429624 5115.15973930753
3664.10650315031 3969.41340368746 5115.03091935407
3664.39354635464 3969.30206725849 5114.90205256986
3664.68058955896 3969.19070500933 5114.77313895491
3664.96763276328 3969.07931693997 5114.6441785092
3665.2546759676 3968.96790305041 5114.51517123276
3665.54171917192 3968.85646334066 5114.38611712556
3665.82876237624 3968.74499781071 5114.25701618762
3666.11580558056 3968.63350646057 5114.12786841893
3666.40284878488 3968.52198929023 5113.99867381949
3666.6898919892 3968.4104462997 5113.86943238931
3666.97693519352 3968.29887748897 5113.74014412838
3667.26397839784 3968.18728285804 5113.61080903671
3667.55102160216 3968.07566240692 5113.48142711428
3667.83806480648 3967.96401613561 5113.35199836112
3668.1251080108 3967.8523440441 5113.2225227772
3668.41215121512 3967.74064613239 5113.09300036254
3668.69919441944 3967.62892240049 5112.96343111713
3668.98623762376 3967.51717284839 5112.83381504097
3669.27328082808 3967.4053974761 5112.70415213407
3669.5603240324 3967.29359628361 5112.57444239642
3669.84736723672 3967.18176927092 5112.44468582802
3670.13441044104 3967.06991643804 5112.31488242888
3670.42145364536 3966.95803778497 5112.18503219899
3670.70849684969 3966.8461333117 5112.05513513835
3670.99554005401 3966.73420301823 5111.92519124697
3671.28258325833 3966.62224690457 5111.79520052484
3671.56962646265 3966.51026497071 5111.66516297196
3671.85666966697 3966.39825721666 5111.53507858834
3672.14371287129 3966.28622364241 5111.40494737397
3672.43075607561 3966.17416424797 5111.27476932885
3672.71779927993 3966.06207903333 5111.14454445299
3673.00484248425 3965.94996799849 5111.01427274638
3673.29188568857 3965.83783114346 5110.88395420902
3673.57892889289 3965.72566846824 5110.75358884092
3673.86597209721 3965.61347997282 5110.62317664207
3674.15301530153 3965.5012656572 5110.49271761247
3674.44005850585 3965.38902552139 5110.36221175212
3674.72710171017 3965.27675956538 5110.23165906103
