radius[km] solidus[K] liquidus[K]
3507.955 4026.15283526579 5178.19226006609
3508.24204320432 4026.05554502317 5178.08886920811
3508.52908640864 4025.95822896036 5177.98543151938
3508.81612961296 4025.86088707735 5177.88194699991
3509.10317281728 4025.76351937415 5177.77841564969
3509.3902160216 4025.66612585075 5177.67483746872
3509.67725922592 4025.56870650716 5177.57121245701
3509.96430243024 4025.47126134337 5177.46754061455
3510.25134563456 4025.37379035938 5177.36382194134
3510.53838883888 4025.2762935552 5177.26005643739
3510.8254320432 4025.17877093082 5177.15624410269
3511.11247524752 4025.08122248625 5177.05238493724
3511.39951845185 4024.98364822148 5176.94847894105
3511.68656165617 4024.88604813652 5176.84452611411
3511.97360486049 4024.78842223136 5176.74052645642
3512.26064806481 4024.69077050601 5176.63647996798
3512.54769126913 4024.59309296046 5176.5323866488
3512.83473447345 4024.49538959472 5176.42824649888
3513.12177767777 4024.39766040878 5176.3240595182
3513.40882088209 4024.29990540264 5176.21982570678
3513.69586408641 4024.20212457631 5176.11554506461
3513.98290729073 4024.10431792978 5176.0112175917
3514.26995049505 4024.00648546306 5175.90684328804
3514.55699369937 4023.90862717614 5175.80242215363
3514.84403690369 4023.81074306903 5175.69795418847
3515.13108010801 4023.71283314172 5175.59343939257
3515.41812331233 4023.61489739422 5175.48887776592
3515.70516651665 4023.51693582652 5175.38426930853
3515.99220972097 4023.41894843862 5175.27961402039
3516.27925292529 4023.32093523053 5175.1749119015
3516.56629612961 4023.22289620224 5175.07016295186
3516.85333933393 4023.12483135376 5174.96536717148
3517.14038253825 4023.02674068508 5174.86052456035
3517.42742574257 4022.92862419621 5174.75563511848
3517.71446894689 4022.83048188714 5174.65069884585
3518.00151215122 4022.73231375788 5174.54571574249
3518.28855535554 4022.63411980842 5174.44068580837
3518.57559855986 4022.53590003877 5174.33560904351
3518.86264176418 4022.43765444892 5174.2304854479
3519.1496849685 4022.33938303887 5174.12531502154
3519.43672817282 4022.24108580863 5174.02009776444
3519.72377137714 4022.14276275819 5173.91483367659
3520.01081458146 4022.04441388756 5173.80952275799
3520.29785778578 4021.94603919673 5173.70416500865
3520.5849009901 4021.84763868571 5173.59876042856
3520.87194419442 4021.74921235449 5173.49330901772
3521.15898739874 4021.65076020308 5173.38781077614
3521.44603060306 4021.55228223147 5173.28226570381
3521.73307380738 4021.45377843966 5173.17667380073
3522.0201170117 4021.35524882766 5173.07103506691
3522.30716021602 4021.25669339546 5172.96534950234
3522.59420342034 4021.15811214307 5172.85961710702
3522.88124662466 4021.05950507048 5172.75383788096
3523.16828982898 4020.9608721777 5172.64801182415
3523.4553330333 4020.86221346472 5172.54213893659
3523.74237623762 4020.76352893155 5172.43621921829
3524.02941944194 4020.66481857818 5172.33025266924
3524.31646264626 4020.56608240461 5172.22423928944
3524.60350585059 4020.46732041085 5172.1181790789
3524.89054905491 4020.3685325969 5172.01207203761
3525.17759225923 4020.26971896275 5171.90591816557
3525.46463546355 4020.1708795084 5171.79971746278
3525.75167866787 4020.07201423386 5171.69346992925
3526.03872187219 4019.97312313912 5171.58717556497
3526.32576507651 4019.87420622419 5171.48083436995
3526.61280828083 4019.77526348906 5171.37444634418
3526.89985148515 4019.67629493373 5171.26801148766
3527.18689468947 4019.57730055821 5171.1615298004
3527.47393789379 4019.4782803625 5171.05500128238
3527.76098109811 4019.37923434659 5170.94842593363
3528.04802430243 4019.28016251048 5170.84180375412
3528.33506750675 4019.18106485418 5170.73513474387
